Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.713,1.083,0.394,0.43,0.794,0.08,1.142,1.793,0.626,3.43,3.886,2.746,4.572,5.091,4.225
0.533,0.857,0.268,0.496,0.94,0.109,1.029,1.609,0.485,3.437,3.889,2.75,4.465,4.934,4.135
0.601,1.114,0.249,0.44,0.995,0.08,1.041,1.678,0.554,3.437,3.89,2.746,4.478,4.962,4.139
0.593,0.968,0.295,0.442,0.906,0.094,1.036,1.654,0.525,3.438,3.889,2.751,4.473,5.013,4.14
0.715,1.064,0.36,0.368,0.834,0.074,1.083,1.654,0.603,3.434,3.887,2.746,4.518,5.006,4.125
0.642,0.987,0.34,0.412,0.793,0.075,1.053,1.671,0.56,3.145,3.565,2.512,4.198,4.711,3.868
0.699,1.038,0.364,0.373,0.728,0.079,1.072,1.665,0.572,3.144,3.568,2.512,4.216,4.687,3.894
0.703,1.07,0.351,0.366,0.793,0.064,1.069,1.654,0.552,3.145,3.572,2.512,4.214,4.693,3.873
0.617,0.986,0.34,0.413,0.749,0.075,1.03,1.612,0.545,3.147,3.57,2.517,4.177,4.711,3.864
0.654,0.964,0.319,0.393,0.786,0.081,1.046,1.641,0.56,3.144,3.573,2.514,4.19,4.698,3.891
0.544,0.8,0.296,0.354,0.72,0.06,0.898,1.438,0.507,2.849,3.257,2.276,3.747,4.227,3.41
0.561,0.842,0.325,0.363,0.746,0.06,0.924,1.427,0.482,2.844,3.257,2.274,3.768,4.293,3.419
0.55,0.807,0.266,0.362,0.687,0.067,0.912,1.422,0.484,2.845,3.258,2.276,3.757,4.269,3.428
0.528,0.854,0.281,0.376,0.707,0.07,0.904,1.417,0.485,2.845,3.258,2.275,3.749,4.276,3.41
0.231,0.325,0.069,0.003,0.021,0,0.235,0.326,0.09,0,0,0,0.235,0.326,0.09
0.216,0.304,0.105,0.002,0.013,0,0.218,0.304,0.129,0,0,0,0.218,0.304,0.129
0.219,0.298,0.097,0.003,0.02,0,0.221,0.298,0.112,0,0,0,0.221,0.298,0.112
0.224,0.323,0.127,0.003,0.017,0,0.227,0.325,0.135,0,0,0,0.227,0.325,0.135
0.235,0.331,0.134,0.002,0.013,0,0.237,0.331,0.139,0,0,0,0.237,0.331,0.139
0.243,0.341,0.122,0.002,0.019,0,0.245,0.341,0.134,0,0,0,0.245,0.341,0.134
0.248,0.363,0.128,0.003,0.022,0,0.251,0.363,0.134,0,0,0,0.251,0.363,0.134
0.255,0.364,0.12,0.003,0.02,0,0.258,0.366,0.13,0,0,0,0.258,0.366,0.13
0.268,0.373,0.144,0.002,0.013,0,0.27,0.373,0.157,0,0,0,0.27,0.373,0.157
0.265,0.372,0.108,0.002,0.019,0,0.268,0.372,0.119,0,0,0,0.268,0.372,0.119
0.275,0.391,0.099,0.002,0.018,0,0.276,0.391,0.103,0,0,0,0.276,0.391,0.103
0.266,0.4,0,0.002,0.014,0,0.267,0.4,0,0,0,0,0.267,0.4,0
0.287,0.411,0,0.001,0.009,0,0.288,0.411,0,0,0,0,0.288,0.411,0
0.288,0.416,0,0.001,0.011,0,0.288,0.416,0,0,0,0,0.288,0.416,0
0.276,0.418,0,0.002,0.016,0,0.278,0.418,0,0,0,0,0.278,0.418,0
0.284,0.427,0,0.001,0.01,0,0.285,0.427,0,0,0,0,0.285,0.427,0
0.259,0.418,0,0.001,0.011,0,0.26,0.418,0,0,0,0,0.26,0.418,0
0.249,0.435,0,0.002,0.029,0,0.251,0.435,0,0,0,0,0.251,0.435,0
0.24,0.438,0,0.002,0.029,0,0.242,0.438,0,0,0,0,0.242,0.438,0
0.257,0.435,0,0.001,0.027,0,0.259,0.435,0,0,0,0,0.259,0.435,0
0.241,0.435,0,0.001,0.014,0,0.241,0.435,0,0,0,0,0.241,0.435,0
0.183,0.372,0,0,0,0,0.183,0.372,0,0,0,0,0.183,0.372,0
0.178,0.381,0,0,0,0,0.178,0.381,0,0,0,0,0.178,0.381,0
0.17,0.373,0,0,0,0,0.17,0.373,0,0,0,0,0.17,0.373,0
0.15,0.38,0,0,0,0,0.15,0.38,0,0,0,0,0.15,0.38,0
0.144,0.388,0,0,0,0,0.144,0.388,0,0,0,0,0.144,0.388,0
0.112,0.322,0,0,0,0,0.112,0.322,0,0,0,0,0.112,0.322,0
0.086,0.317,0,0,0,0,0.086,0.317,0,0,0,0,0.086,0.317,0
0.082,0.321,0,0,0,0,0.083,0.321,0,0,0,0,0.083,0.321,0
0.07,0.322,0,0,0,0,0.07,0.322,0,0,0,0,0.07,0.322,0
0.069,0.304,0,0,0,0,0.069,0.304,0,0,0,0,0.069,0.304,0
