Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
1.192,1.317,1.01,0.772,1.06,0.53,1.964,2.226,1.738,3.623,3.847,3.346,5.587,5.925,5.305
1.148,1.263,0.982,0.795,1.084,0.546,1.943,2.209,1.718,3.623,3.847,3.346,5.566,5.905,5.289
1.124,1.235,0.966,0.806,1.096,0.553,1.93,2.198,1.703,3.623,3.847,3.346,5.553,5.892,5.277
1.111,1.22,0.956,0.81,1.103,0.555,1.921,2.19,1.694,3.623,3.847,3.346,5.544,5.884,5.27
1.102,1.211,0.949,0.813,1.108,0.556,1.915,2.185,1.688,3.623,3.847,3.346,5.538,5.878,5.264
1.102,1.212,0.951,0.819,1.119,0.56,1.921,2.192,1.693,3.299,3.518,3.038,5.22,5.573,4.934
1.097,1.206,0.946,0.822,1.123,0.561,1.918,2.19,1.69,3.299,3.518,3.038,5.217,5.57,4.931
1.092,1.201,0.942,0.824,1.127,0.562,1.916,2.188,1.687,3.299,3.518,3.038,5.215,5.568,4.929
1.088,1.197,0.938,0.827,1.131,0.563,1.914,2.187,1.685,3.299,3.518,3.038,5.213,5.567,4.928
1.085,1.194,0.935,0.829,1.134,0.564,1.913,2.187,1.683,3.299,3.518,3.038,5.212,5.566,4.926
0.945,1.042,0.812,0.723,0.989,0.489,1.668,1.918,1.464,2.966,3.176,2.727,4.634,4.999,4.362
0.943,1.041,0.811,0.724,0.991,0.49,1.667,1.918,1.463,2.966,3.176,2.727,4.633,4.999,4.362
0.942,1.04,0.81,0.725,0.992,0.49,1.667,1.918,1.463,2.966,3.176,2.727,4.633,4.999,4.362
0.941,1.039,0.809,0.726,0.994,0.491,1.667,1.918,1.462,2.966,3.176,2.727,4.633,4.999,4.361
0.139,0.225,0.063,0.006,0.021,0,0.145,0.228,0.075,0.113,0.176,0.055,0.257,0.308,0.207
0.125,0.202,0.057,0.005,0.018,0,0.13,0.206,0.067,0.102,0.159,0.05,0.232,0.278,0.186
0.13,0.209,0.06,0.005,0.018,0,0.135,0.213,0.07,0.102,0.159,0.05,0.237,0.285,0.19
0.135,0.217,0.063,0.005,0.018,0,0.14,0.219,0.073,0.102,0.159,0.05,0.242,0.292,0.195
0.141,0.224,0.066,0.005,0.018,0,0.146,0.225,0.076,0.102,0.159,0.05,0.248,0.3,0.198
0.146,0.232,0.068,0.005,0.018,0,0.151,0.232,0.079,0.102,0.159,0.05,0.253,0.307,0.201
0.156,0.247,0.073,0.005,0.018,0,0.161,0.247,0.083,0.095,0.148,0.046,0.256,0.318,0.201
0.162,0.255,0.076,0.005,0.018,0,0.167,0.255,0.086,0.095,0.148,0.046,0.262,0.327,0.205
0.167,0.263,0.078,0.005,0.018,0,0.172,0.264,0.088,0.095,0.148,0.046,0.268,0.335,0.208
0.173,0.271,0.081,0.005,0.017,0,0.178,0.272,0.091,0.095,0.148,0.046,0.273,0.344,0.211
0.179,0.279,0.083,0.005,0.017,0,0.183,0.279,0.093,0.095,0.148,0.046,0.279,0.352,0.214
0.188,0.295,0.087,0.005,0.017,0,0.193,0.295,0.097,0.088,0.136,0.043,0.281,0.364,0.213
0.194,0.303,0.09,0.005,0.016,0,0.199,0.303,0.099,0.088,0.136,0.043,0.287,0.373,0.215
0.2,0.311,0.092,0.004,0.016,0,0.204,0.311,0.102,0.088,0.136,0.043,0.292,0.382,0.217
0.205,0.318,0.094,0.004,0.016,0,0.209,0.319,0.104,0.088,0.136,0.043,0.297,0.39,0.219
0.21,0.325,0.096,0.004,0.015,0,0.214,0.326,0.105,0.088,0.136,0.043,0.302,0.398,0.221
0.215,0.332,0.098,0.004,0.015,0,0.219,0.333,0.107,0.088,0.136,0.043,0.307,0.406,0.223
0.219,0.339,0.1,0.004,0.015,0,0.223,0.339,0.109,0.088,0.136,0.042,0.311,0.413,0.224
0.223,0.345,0.101,0.004,0.015,0,0.227,0.345,0.11,0.088,0.136,0.042,0.315,0.421,0.225
0.227,0.351,0.103,0.004,0.014,0,0.231,0.351,0.112,0.088,0.136,0.042,0.319,0.428,0.227
0.231,0.356,0.104,0.004,0.014,0,0.235,0.356,0.113,0.088,0.136,0.042,0.323,0.434,0.229
0.193,0.302,0.087,0.003,0.011,0,0.196,0.302,0.094,0.08,0.122,0.038,0.276,0.368,0.198
0.196,0.306,0.088,0.003,0.011,0,0.199,0.307,0.095,0.08,0.122,0.038,0.279,0.373,0.198
0.199,0.311,0.089,0.003,0.011,0,0.202,0.311,0.096,0.08,0.122,0.038,0.282,0.378,0.198
0.202,0.315,0.09,0.003,0.011,0,0.205,0.316,0.097,0.08,0.122,0.038,0.284,0.382,0.2
0.204,0.319,0.091,0.003,0.011,0,0.207,0.32,0.098,0.08,0.122,0.038,0.286,0.387,0.201
0.163,0.264,0.072,0.002,0.008,0,0.165,0.265,0.077,0.058,0.091,0.027,0.223,0.314,0.154
0.165,0.267,0.072,0.002,0.008,0,0.167,0.268,0.078,0.058,0.091,0.027,0.225,0.318,0.154
0.166,0.27,0.073,0.002,0.008,0,0.168,0.271,0.078,0.058,0.091,0.027,0.227,0.321,0.155
0.167,0.273,0.073,0.002,0.008,0,0.169,0.273,0.079,0.058,0.091,0.027,0.228,0.324,0.155
0.169,0.275,0.074,0.002,0.008,0,0.171,0.275,0.079,0.058,0.091,0.027,0.229,0.326,0.156
