Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
1.099,1.206,0.963,0.864,1.15,0.607,1.963,2.239,1.737,3.275,3.418,3.029,5.238,5.555,4.987
1.06,1.158,0.935,0.883,1.175,0.625,1.943,2.222,1.717,3.275,3.418,3.029,5.218,5.537,4.96
1.034,1.129,0.915,0.894,1.189,0.635,1.928,2.209,1.703,3.275,3.418,3.029,5.203,5.524,4.941
1.019,1.112,0.903,0.9,1.196,0.64,1.919,2.2,1.694,3.275,3.418,3.029,5.193,5.515,4.929
1.009,1.102,0.894,0.903,1.202,0.641,1.911,2.193,1.687,3.275,3.418,3.029,5.186,5.508,4.921
1.009,1.102,0.894,0.91,1.212,0.646,1.919,2.202,1.693,2.956,3.088,2.735,4.874,5.186,4.607
1.002,1.095,0.888,0.913,1.217,0.648,1.916,2.199,1.69,2.956,3.088,2.735,4.871,5.183,4.603
0.997,1.09,0.883,0.916,1.221,0.65,1.913,2.197,1.687,2.956,3.088,2.735,4.869,5.182,4.601
0.993,1.085,0.879,0.919,1.225,0.652,1.911,2.196,1.685,2.956,3.088,2.735,4.867,5.18,4.599
0.989,1.082,0.877,0.921,1.228,0.653,1.91,2.196,1.683,2.956,3.088,2.735,4.866,5.179,4.597
0.852,0.933,0.754,0.795,1.066,0.562,1.646,1.903,1.445,2.628,2.749,2.43,4.274,4.569,4.025
0.85,0.932,0.752,0.796,1.068,0.563,1.646,1.903,1.445,2.628,2.749,2.43,4.274,4.569,4.024
0.849,0.93,0.751,0.797,1.069,0.564,1.646,1.903,1.445,2.628,2.749,2.43,4.274,4.569,4.024
0.848,0.929,0.749,0.798,1.071,0.564,1.646,1.903,1.445,2.628,2.749,2.43,4.274,4.569,4.024
0.154,0.223,0.084,0.007,0.022,0.001,0.161,0.232,0.091,0.181,0.24,0.118,0.341,0.385,0.297
0.136,0.198,0.074,0.006,0.019,0,0.142,0.207,0.079,0.161,0.214,0.105,0.303,0.343,0.263
0.142,0.204,0.078,0.006,0.019,0,0.148,0.213,0.083,0.161,0.214,0.105,0.309,0.349,0.268
0.147,0.211,0.082,0.006,0.019,0,0.153,0.221,0.086,0.161,0.214,0.105,0.314,0.356,0.273
0.153,0.218,0.085,0.006,0.019,0,0.159,0.228,0.089,0.161,0.214,0.105,0.32,0.362,0.278
0.159,0.226,0.088,0.006,0.019,0,0.165,0.236,0.092,0.161,0.214,0.105,0.326,0.369,0.283
0.169,0.241,0.093,0.006,0.019,0,0.175,0.251,0.097,0.15,0.198,0.097,0.325,0.371,0.278
0.176,0.249,0.097,0.006,0.019,0,0.182,0.26,0.1,0.15,0.198,0.097,0.331,0.379,0.281
0.182,0.258,0.1,0.006,0.019,0,0.188,0.269,0.103,0.15,0.198,0.097,0.337,0.387,0.287
0.188,0.266,0.103,0.006,0.019,0,0.194,0.277,0.106,0.15,0.198,0.097,0.343,0.394,0.291
0.194,0.275,0.105,0.005,0.018,0,0.2,0.285,0.109,0.149,0.198,0.097,0.349,0.402,0.293
0.205,0.292,0.11,0.005,0.018,0,0.211,0.301,0.114,0.136,0.182,0.089,0.347,0.407,0.283
0.212,0.302,0.113,0.005,0.018,0,0.217,0.31,0.117,0.136,0.182,0.089,0.353,0.417,0.287
0.218,0.31,0.115,0.005,0.017,0,0.223,0.319,0.12,0.136,0.182,0.089,0.36,0.426,0.292
0.224,0.318,0.118,0.005,0.017,0,0.229,0.327,0.122,0.136,0.182,0.089,0.365,0.436,0.295
0.23,0.327,0.12,0.005,0.017,0,0.234,0.336,0.125,0.136,0.182,0.089,0.371,0.445,0.297
0.235,0.336,0.122,0.005,0.016,0,0.24,0.344,0.127,0.136,0.182,0.089,0.376,0.454,0.3
0.24,0.344,0.124,0.005,0.016,0,0.245,0.352,0.129,0.136,0.182,0.089,0.381,0.462,0.302
0.245,0.352,0.126,0.005,0.016,0,0.25,0.36,0.131,0.136,0.182,0.089,0.386,0.47,0.305
0.25,0.36,0.128,0.004,0.015,0,0.254,0.367,0.132,0.136,0.182,0.089,0.39,0.477,0.308
0.254,0.367,0.129,0.004,0.015,0,0.258,0.374,0.134,0.136,0.182,0.089,0.395,0.484,0.31
0.207,0.305,0.104,0.003,0.012,0,0.211,0.31,0.108,0.121,0.162,0.079,0.332,0.405,0.262
0.211,0.311,0.105,0.003,0.011,0,0.214,0.316,0.109,0.121,0.162,0.079,0.336,0.412,0.264
0.214,0.316,0.106,0.003,0.011,0,0.217,0.321,0.11,0.121,0.162,0.079,0.339,0.418,0.265
0.217,0.321,0.107,0.003,0.011,0,0.22,0.326,0.111,0.121,0.162,0.079,0.342,0.423,0.267
0.22,0.326,0.108,0.003,0.011,0,0.223,0.331,0.112,0.121,0.162,0.079,0.344,0.429,0.268
0.169,0.257,0.081,0.002,0.008,0,0.171,0.261,0.084,0.084,0.113,0.054,0.255,0.329,0.192
0.171,0.261,0.082,0.002,0.008,0,0.173,0.265,0.084,0.084,0.113,0.054,0.257,0.333,0.192
0.172,0.264,0.082,0.002,0.007,0,0.175,0.269,0.085,0.084,0.113,0.054,0.259,0.337,0.193
0.174,0.267,0.083,0.002,0.007,0,0.176,0.272,0.085,0.084,0.113,0.054,0.26,0.34,0.193
0.175,0.27,0.083,0.002,0.007,0,0.177,0.274,0.086,0.084,0.113,0.054,0.261,0.343,0.194
