Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.896,1.181,0.542,0.593,0.871,0.327,1.489,1.935,1.075,3.432,3.864,2.834,4.921,5.295,4.621
0.867,1.121,0.535,0.601,0.878,0.333,1.468,1.908,1.067,3.432,3.864,2.835,4.9,5.277,4.606
0.85,1.089,0.53,0.604,0.883,0.335,1.454,1.889,1.061,3.432,3.864,2.835,4.886,5.262,4.592
0.839,1.074,0.525,0.605,0.886,0.335,1.444,1.875,1.057,3.432,3.864,2.835,4.876,5.25,4.578
0.831,1.061,0.522,0.605,0.889,0.335,1.436,1.866,1.053,3.432,3.864,2.835,4.868,5.241,4.567
0.83,1.055,0.523,0.609,0.896,0.336,1.439,1.869,1.056,3.133,3.531,2.583,4.572,4.948,4.289
0.825,1.047,0.521,0.61,0.9,0.336,1.435,1.864,1.054,3.133,3.531,2.583,4.568,4.944,4.284
0.821,1.041,0.519,0.612,0.903,0.337,1.432,1.861,1.053,3.133,3.531,2.583,4.565,4.941,4.28
0.817,1.036,0.518,0.613,0.907,0.337,1.43,1.859,1.051,3.133,3.531,2.583,4.563,4.939,4.277
0.814,1.033,0.517,0.614,0.91,0.337,1.429,1.857,1.05,3.133,3.531,2.583,4.562,4.938,4.275
0.713,0.907,0.45,0.538,0.803,0.295,1.25,1.638,0.912,2.826,3.2,2.324,4.076,4.446,3.812
0.712,0.906,0.45,0.538,0.804,0.295,1.25,1.638,0.912,2.826,3.2,2.324,4.076,4.446,3.812
0.711,0.905,0.449,0.539,0.805,0.295,1.249,1.637,0.911,2.826,3.2,2.324,4.075,4.445,3.812
0.71,0.904,0.449,0.539,0.806,0.296,1.249,1.637,0.911,2.826,3.2,2.324,4.075,4.445,3.812
0.148,0.213,0.094,0.009,0.029,0.001,0.157,0.236,0.103,0.246,0.312,0.175,0.403,0.449,0.353
0.133,0.191,0.085,0.008,0.025,0.001,0.141,0.212,0.091,0.223,0.284,0.16,0.364,0.407,0.321
0.138,0.197,0.088,0.008,0.025,0.001,0.146,0.218,0.095,0.223,0.284,0.16,0.369,0.412,0.326
0.143,0.204,0.092,0.008,0.025,0.001,0.152,0.224,0.098,0.223,0.284,0.16,0.374,0.418,0.332
0.149,0.212,0.096,0.008,0.025,0.001,0.157,0.23,0.102,0.223,0.284,0.16,0.38,0.424,0.336
0.154,0.22,0.1,0.008,0.025,0.001,0.162,0.237,0.105,0.223,0.284,0.16,0.385,0.43,0.34
0.163,0.234,0.105,0.008,0.025,0.001,0.171,0.249,0.111,0.209,0.267,0.149,0.38,0.426,0.338
0.169,0.241,0.109,0.008,0.025,0.001,0.177,0.256,0.116,0.209,0.267,0.149,0.386,0.432,0.343
0.175,0.249,0.112,0.008,0.024,0.001,0.183,0.264,0.12,0.209,0.267,0.149,0.392,0.439,0.348
0.18,0.257,0.115,0.008,0.024,0.001,0.188,0.271,0.123,0.209,0.267,0.149,0.397,0.445,0.354
0.186,0.264,0.118,0.008,0.023,0.001,0.193,0.278,0.125,0.209,0.267,0.149,0.402,0.452,0.359
0.194,0.278,0.122,0.007,0.023,0.001,0.202,0.291,0.13,0.194,0.248,0.139,0.395,0.451,0.348
0.2,0.286,0.125,0.007,0.022,0.001,0.207,0.299,0.132,0.194,0.248,0.139,0.401,0.459,0.35
0.205,0.294,0.128,0.007,0.021,0.001,0.212,0.306,0.135,0.193,0.248,0.139,0.406,0.466,0.353
0.21,0.301,0.13,0.007,0.021,0.001,0.217,0.313,0.137,0.193,0.248,0.139,0.41,0.474,0.355
0.214,0.308,0.132,0.007,0.02,0.001,0.221,0.32,0.139,0.193,0.248,0.139,0.415,0.48,0.357
0.218,0.314,0.134,0.007,0.02,0.001,0.225,0.328,0.141,0.193,0.248,0.139,0.419,0.486,0.359
0.222,0.321,0.136,0.007,0.019,0.001,0.229,0.334,0.143,0.193,0.248,0.139,0.422,0.492,0.363
0.226,0.327,0.138,0.007,0.019,0.001,0.233,0.339,0.145,0.193,0.248,0.139,0.426,0.498,0.366
0.23,0.332,0.139,0.007,0.018,0.001,0.236,0.343,0.146,0.193,0.248,0.139,0.429,0.503,0.369
0.233,0.337,0.141,0.006,0.018,0.001,0.239,0.348,0.148,0.193,0.248,0.139,0.433,0.508,0.371
0.195,0.287,0.118,0.005,0.014,0,0.201,0.294,0.123,0.176,0.224,0.127,0.376,0.443,0.323
0.198,0.292,0.12,0.005,0.014,0,0.203,0.299,0.124,0.176,0.224,0.127,0.379,0.447,0.325
0.2,0.297,0.121,0.005,0.014,0,0.205,0.304,0.125,0.176,0.224,0.127,0.381,0.452,0.326
0.202,0.302,0.122,0.005,0.014,0,0.207,0.309,0.126,0.176,0.224,0.127,0.383,0.456,0.326
0.204,0.306,0.123,0.005,0.013,0,0.209,0.313,0.127,0.176,0.224,0.127,0.385,0.459,0.327
0.164,0.248,0.097,0.004,0.01,0,0.168,0.249,0.1,0.131,0.167,0.097,0.299,0.357,0.247
0.165,0.25,0.098,0.004,0.01,0,0.169,0.252,0.1,0.131,0.167,0.097,0.3,0.36,0.248
0.167,0.252,0.098,0.004,0.01,0,0.17,0.254,0.1,0.131,0.167,0.097,0.302,0.363,0.249
0.168,0.254,0.099,0.004,0.01,0,0.171,0.255,0.101,0.131,0.167,0.097,0.303,0.365,0.249
0.169,0.256,0.099,0.004,0.01,0,0.172,0.257,0.101,0.131,0.167,0.097,0.303,0.367,0.249
