Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.843,1.23,0.488,0.449,0.783,0.148,1.292,1.909,0.785,3.753,4.194,3.015,5.044,5.513,4.693
0.821,1.167,0.484,0.456,0.795,0.149,1.277,1.888,0.778,3.753,4.194,3.015,5.03,5.498,4.676
0.809,1.139,0.481,0.458,0.801,0.15,1.267,1.873,0.773,3.753,4.194,3.015,5.02,5.488,4.668
0.801,1.126,0.478,0.459,0.803,0.15,1.261,1.862,0.77,3.753,4.194,3.016,5.014,5.48,4.665
0.796,1.117,0.476,0.46,0.806,0.15,1.256,1.855,0.767,3.753,4.194,3.016,5.009,5.475,4.662
0.797,1.116,0.478,0.463,0.811,0.15,1.259,1.861,0.77,3.45,3.898,2.757,4.71,5.216,4.345
0.793,1.11,0.477,0.463,0.814,0.15,1.257,1.858,0.769,3.45,3.898,2.757,4.707,5.213,4.344
0.79,1.106,0.476,0.464,0.816,0.15,1.254,1.855,0.768,3.45,3.898,2.757,4.705,5.211,4.343
0.788,1.102,0.475,0.465,0.818,0.15,1.253,1.854,0.767,3.45,3.898,2.757,4.703,5.209,4.343
0.786,1.099,0.475,0.466,0.82,0.15,1.252,1.853,0.767,3.45,3.898,2.757,4.702,5.208,4.342
0.696,0.982,0.417,0.412,0.735,0.131,1.107,1.645,0.674,3.14,3.572,2.492,4.247,4.76,3.891
0.695,0.98,0.417,0.412,0.736,0.131,1.107,1.645,0.674,3.14,3.572,2.492,4.247,4.76,3.891
0.694,0.979,0.417,0.412,0.736,0.131,1.106,1.645,0.674,3.14,3.572,2.492,4.246,4.76,3.891
0.694,0.979,0.417,0.413,0.737,0.131,1.106,1.645,0.674,3.14,3.572,2.492,4.246,4.759,3.89
0.138,0.206,0.083,0.007,0.023,0,0.145,0.212,0.091,0.17,0.225,0.117,0.315,0.373,0.272
0.126,0.19,0.075,0.006,0.021,0,0.132,0.197,0.082,0.156,0.206,0.107,0.287,0.34,0.246
0.13,0.195,0.079,0.006,0.021,0,0.136,0.203,0.085,0.156,0.206,0.107,0.292,0.345,0.251
0.135,0.201,0.083,0.006,0.021,0,0.141,0.208,0.088,0.156,0.206,0.107,0.297,0.35,0.255
0.139,0.207,0.085,0.006,0.021,0,0.146,0.213,0.09,0.156,0.206,0.107,0.301,0.355,0.259
0.144,0.213,0.088,0.006,0.021,0,0.15,0.218,0.094,0.156,0.206,0.107,0.306,0.36,0.264
0.152,0.223,0.092,0.006,0.021,0,0.158,0.228,0.099,0.147,0.193,0.101,0.305,0.359,0.262
0.157,0.23,0.095,0.006,0.02,0,0.163,0.235,0.102,0.147,0.193,0.101,0.31,0.366,0.265
0.162,0.237,0.097,0.006,0.02,0,0.167,0.242,0.104,0.147,0.193,0.101,0.314,0.371,0.268
0.166,0.246,0.1,0.006,0.02,0,0.172,0.249,0.107,0.147,0.193,0.101,0.319,0.377,0.27
0.171,0.254,0.103,0.006,0.02,0,0.176,0.257,0.11,0.147,0.193,0.101,0.323,0.383,0.273
0.178,0.269,0.107,0.006,0.02,0,0.184,0.272,0.114,0.137,0.18,0.094,0.321,0.383,0.269
0.182,0.276,0.11,0.006,0.019,0,0.188,0.279,0.116,0.137,0.18,0.094,0.325,0.393,0.272
0.187,0.282,0.113,0.005,0.019,0,0.192,0.286,0.118,0.137,0.18,0.094,0.329,0.403,0.276
0.191,0.288,0.116,0.005,0.019,0,0.196,0.292,0.12,0.137,0.18,0.094,0.333,0.41,0.278
0.195,0.294,0.118,0.005,0.018,0,0.2,0.297,0.122,0.137,0.18,0.094,0.337,0.415,0.28
0.198,0.3,0.12,0.005,0.018,0,0.203,0.303,0.124,0.137,0.18,0.094,0.34,0.421,0.282
0.201,0.305,0.122,0.005,0.018,0,0.207,0.308,0.125,0.137,0.18,0.094,0.344,0.426,0.284
0.205,0.31,0.123,0.005,0.018,0,0.21,0.313,0.127,0.137,0.18,0.094,0.347,0.431,0.285
0.208,0.315,0.125,0.005,0.017,0,0.213,0.318,0.128,0.137,0.18,0.094,0.35,0.436,0.287
0.21,0.319,0.126,0.005,0.017,0,0.215,0.323,0.13,0.137,0.18,0.094,0.352,0.441,0.288
0.18,0.277,0.107,0.004,0.014,0,0.184,0.278,0.111,0.126,0.165,0.087,0.31,0.394,0.253
0.182,0.281,0.108,0.004,0.014,0,0.186,0.282,0.112,0.126,0.165,0.087,0.312,0.398,0.255
0.184,0.284,0.109,0.004,0.014,0,0.188,0.286,0.113,0.126,0.165,0.087,0.314,0.402,0.256
0.186,0.287,0.11,0.004,0.014,0,0.19,0.289,0.114,0.126,0.165,0.087,0.315,0.406,0.257
0.187,0.29,0.111,0.004,0.014,0,0.191,0.292,0.115,0.126,0.165,0.087,0.317,0.409,0.257
0.154,0.243,0.091,0.003,0.011,0,0.158,0.25,0.095,0.098,0.132,0.067,0.255,0.338,0.201
0.156,0.246,0.092,0.003,0.011,0,0.159,0.253,0.096,0.098,0.132,0.067,0.256,0.34,0.202
0.157,0.248,0.092,0.003,0.011,0,0.16,0.256,0.096,0.098,0.132,0.067,0.257,0.342,0.202
0.158,0.251,0.093,0.003,0.011,0,0.161,0.258,0.096,0.098,0.132,0.067,0.258,0.345,0.202
0.158,0.253,0.093,0.003,0.011,0,0.161,0.26,0.097,0.098,0.132,0.067,0.259,0.346,0.202
