Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
1.094,1.265,0.857,0.753,1.094,0.488,1.848,2.184,1.547,3.395,3.605,3.058,5.243,5.605,4.899
1.055,1.213,0.838,0.771,1.122,0.5,1.826,2.166,1.533,3.395,3.606,3.059,5.221,5.581,4.869
1.031,1.183,0.825,0.78,1.136,0.506,1.811,2.154,1.515,3.395,3.606,3.059,5.207,5.569,4.851
1.018,1.167,0.815,0.784,1.143,0.51,1.802,2.145,1.502,3.395,3.606,3.059,5.197,5.561,4.842
1.008,1.156,0.808,0.787,1.149,0.511,1.795,2.139,1.493,3.395,3.606,3.059,5.19,5.554,4.835
1.008,1.156,0.808,0.792,1.158,0.515,1.8,2.147,1.497,3.085,3.292,2.783,4.885,5.267,4.535
1.002,1.149,0.803,0.795,1.163,0.517,1.797,2.145,1.492,3.085,3.292,2.783,4.881,5.264,4.531
0.997,1.144,0.799,0.797,1.167,0.518,1.794,2.143,1.488,3.085,3.292,2.783,4.879,5.262,4.528
0.993,1.14,0.796,0.799,1.171,0.52,1.792,2.142,1.486,3.085,3.292,2.783,4.877,5.26,4.525
0.99,1.137,0.794,0.801,1.174,0.521,1.791,2.141,1.483,3.085,3.292,2.783,4.876,5.26,4.524
0.86,0.99,0.693,0.698,1.037,0.451,1.558,1.874,1.28,2.766,2.973,2.494,4.324,4.701,3.986
0.859,0.989,0.691,0.699,1.039,0.452,1.558,1.874,1.28,2.766,2.973,2.494,4.324,4.701,3.986
0.858,0.988,0.69,0.7,1.04,0.453,1.558,1.874,1.279,2.766,2.973,2.494,4.324,4.701,3.986
0.857,0.987,0.69,0.7,1.041,0.453,1.557,1.874,1.279,2.766,2.973,2.494,4.323,4.7,3.985
0.148,0.217,0.082,0.008,0.026,0.001,0.156,0.221,0.088,0.172,0.233,0.114,0.328,0.379,0.277
0.133,0.191,0.074,0.007,0.022,0,0.14,0.197,0.078,0.154,0.209,0.103,0.294,0.339,0.249
0.138,0.197,0.077,0.007,0.022,0,0.145,0.204,0.082,0.154,0.209,0.103,0.3,0.345,0.254
0.144,0.204,0.081,0.007,0.022,0,0.151,0.211,0.086,0.154,0.209,0.103,0.305,0.352,0.257
0.15,0.211,0.085,0.007,0.022,0,0.156,0.218,0.088,0.154,0.209,0.103,0.311,0.358,0.26
0.155,0.218,0.088,0.007,0.022,0,0.162,0.225,0.091,0.154,0.209,0.103,0.316,0.364,0.263
0.165,0.232,0.094,0.007,0.022,0,0.172,0.238,0.096,0.144,0.196,0.096,0.316,0.366,0.261
0.171,0.24,0.097,0.006,0.022,0,0.178,0.246,0.099,0.144,0.196,0.096,0.322,0.373,0.265
0.177,0.249,0.101,0.006,0.021,0,0.184,0.254,0.102,0.144,0.196,0.096,0.328,0.381,0.27
0.183,0.257,0.104,0.006,0.021,0,0.19,0.262,0.106,0.144,0.196,0.096,0.334,0.388,0.274
0.189,0.265,0.107,0.006,0.02,0,0.195,0.27,0.109,0.144,0.196,0.096,0.34,0.395,0.277
0.199,0.28,0.112,0.006,0.02,0,0.205,0.286,0.114,0.133,0.182,0.088,0.338,0.399,0.269
0.205,0.289,0.115,0.006,0.02,0,0.211,0.295,0.117,0.133,0.182,0.088,0.344,0.407,0.272
0.211,0.298,0.118,0.006,0.019,0,0.217,0.304,0.12,0.133,0.182,0.088,0.35,0.414,0.275
0.217,0.307,0.121,0.006,0.019,0,0.222,0.312,0.123,0.133,0.182,0.088,0.355,0.422,0.278
0.222,0.315,0.123,0.006,0.018,0,0.228,0.321,0.125,0.133,0.182,0.088,0.36,0.429,0.281
0.227,0.324,0.125,0.005,0.018,0,0.232,0.329,0.128,0.133,0.182,0.088,0.365,0.436,0.285
0.232,0.33,0.128,0.005,0.018,0,0.237,0.337,0.13,0.133,0.182,0.088,0.37,0.445,0.288
0.236,0.337,0.13,0.005,0.017,0,0.242,0.344,0.132,0.133,0.182,0.088,0.374,0.45,0.291
0.241,0.343,0.132,0.005,0.017,0,0.246,0.351,0.134,0.133,0.182,0.088,0.379,0.457,0.294
0.245,0.349,0.134,0.005,0.017,0,0.25,0.357,0.136,0.133,0.182,0.088,0.382,0.463,0.297
0.204,0.291,0.11,0.004,0.013,0,0.208,0.296,0.11,0.12,0.165,0.079,0.327,0.392,0.261
0.207,0.296,0.111,0.004,0.013,0,0.211,0.301,0.111,0.12,0.165,0.079,0.33,0.398,0.263
0.21,0.301,0.112,0.004,0.013,0,0.214,0.306,0.113,0.12,0.165,0.079,0.333,0.403,0.264
0.213,0.305,0.113,0.004,0.012,0,0.216,0.31,0.114,0.12,0.165,0.079,0.336,0.407,0.265
0.215,0.31,0.114,0.004,0.012,0,0.219,0.315,0.114,0.12,0.165,0.079,0.338,0.411,0.266
0.17,0.248,0.087,0.003,0.009,0,0.173,0.25,0.09,0.087,0.12,0.057,0.26,0.321,0.196
0.172,0.252,0.088,0.003,0.009,0,0.175,0.254,0.09,0.087,0.12,0.057,0.262,0.325,0.197
0.174,0.255,0.088,0.003,0.009,0,0.176,0.257,0.091,0.087,0.12,0.057,0.263,0.328,0.197
0.175,0.258,0.089,0.003,0.009,0,0.178,0.26,0.091,0.087,0.12,0.057,0.265,0.331,0.198
0.176,0.26,0.089,0.003,0.009,0,0.179,0.262,0.092,0.087,0.12,0.057,0.266,0.333,0.198
