Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.504,0.926,0.245,0.234,0.58,0.02,0.738,1.344,0.304,3.548,3.895,2.851,4.286,4.679,3.984
0.497,0.894,0.244,0.235,0.584,0.02,0.731,1.312,0.303,3.548,3.895,2.851,4.28,4.673,3.982
0.492,0.875,0.243,0.235,0.585,0.02,0.727,1.291,0.302,3.548,3.895,2.851,4.275,4.67,3.981
0.489,0.863,0.243,0.235,0.586,0.02,0.724,1.278,0.302,3.548,3.895,2.851,4.272,4.667,3.981
0.487,0.854,0.242,0.235,0.586,0.02,0.722,1.268,0.302,3.548,3.895,2.851,4.27,4.665,3.98
0.489,0.855,0.244,0.236,0.588,0.02,0.725,1.269,0.304,3.247,3.588,2.614,3.972,4.379,3.689
0.488,0.85,0.243,0.236,0.589,0.02,0.723,1.263,0.304,3.247,3.588,2.614,3.971,4.378,3.689
0.487,0.845,0.243,0.236,0.59,0.02,0.722,1.258,0.304,3.247,3.588,2.614,3.97,4.377,3.689
0.486,0.841,0.243,0.236,0.59,0.02,0.722,1.255,0.304,3.247,3.588,2.614,3.969,4.376,3.687
0.485,0.838,0.243,0.236,0.591,0.02,0.721,1.252,0.304,3.247,3.588,2.614,3.968,4.376,3.686
0.427,0.738,0.212,0.207,0.522,0.017,0.635,1.104,0.266,2.939,3.286,2.37,3.573,4,3.297
0.427,0.737,0.212,0.207,0.522,0.017,0.634,1.103,0.266,2.939,3.286,2.37,3.573,3.999,3.297
0.427,0.736,0.212,0.208,0.523,0.017,0.634,1.102,0.266,2.939,3.286,2.37,3.573,3.999,3.297
0.427,0.735,0.212,0.208,0.523,0.017,0.634,1.101,0.266,2.939,3.286,2.37,3.573,3.999,3.297
0.153,0.221,0.092,0.01,0.032,0.001,0.164,0.233,0.096,0.246,0.302,0.167,0.41,0.464,0.356
0.137,0.196,0.084,0.009,0.027,0,0.146,0.209,0.088,0.224,0.274,0.152,0.37,0.417,0.323
0.141,0.201,0.089,0.009,0.027,0,0.15,0.214,0.092,0.224,0.274,0.152,0.374,0.421,0.328
0.145,0.206,0.093,0.009,0.028,0,0.154,0.219,0.096,0.224,0.274,0.152,0.378,0.424,0.333
0.15,0.212,0.097,0.009,0.027,0,0.159,0.224,0.1,0.224,0.274,0.152,0.383,0.427,0.337
0.154,0.217,0.1,0.009,0.027,0,0.163,0.229,0.104,0.224,0.274,0.152,0.387,0.43,0.343
0.161,0.226,0.106,0.009,0.027,0,0.169,0.239,0.11,0.211,0.258,0.144,0.38,0.425,0.337
0.165,0.232,0.109,0.009,0.027,0,0.174,0.245,0.113,0.211,0.258,0.144,0.384,0.43,0.34
0.169,0.238,0.112,0.009,0.027,0,0.178,0.25,0.117,0.211,0.258,0.144,0.389,0.434,0.343
0.173,0.244,0.114,0.009,0.027,0,0.182,0.256,0.121,0.211,0.258,0.144,0.393,0.437,0.345
0.177,0.25,0.117,0.009,0.027,0,0.186,0.262,0.124,0.211,0.258,0.144,0.396,0.442,0.348
0.184,0.26,0.12,0.008,0.026,0,0.192,0.271,0.127,0.195,0.239,0.135,0.388,0.437,0.339
0.188,0.266,0.122,0.008,0.026,0,0.196,0.276,0.129,0.195,0.239,0.135,0.391,0.442,0.342
0.191,0.271,0.124,0.008,0.026,0,0.199,0.282,0.131,0.195,0.239,0.135,0.395,0.447,0.344
0.195,0.277,0.126,0.008,0.026,0,0.203,0.287,0.133,0.195,0.239,0.135,0.398,0.454,0.347
0.198,0.282,0.127,0.008,0.025,0,0.206,0.291,0.134,0.195,0.239,0.135,0.401,0.46,0.348
0.201,0.287,0.129,0.008,0.025,0,0.209,0.296,0.136,0.195,0.239,0.135,0.404,0.464,0.349
0.204,0.291,0.13,0.008,0.025,0,0.212,0.3,0.137,0.195,0.239,0.135,0.407,0.469,0.35
0.206,0.296,0.132,0.008,0.025,0,0.214,0.304,0.138,0.195,0.239,0.135,0.409,0.473,0.35
0.209,0.3,0.133,0.008,0.025,0,0.216,0.307,0.14,0.195,0.239,0.135,0.412,0.477,0.351
0.211,0.304,0.134,0.008,0.024,0,0.219,0.311,0.141,0.195,0.239,0.135,0.414,0.48,0.352
0.178,0.259,0.113,0.006,0.02,0,0.184,0.264,0.119,0.178,0.217,0.124,0.362,0.417,0.312
0.179,0.262,0.114,0.006,0.02,0,0.185,0.266,0.119,0.178,0.217,0.124,0.364,0.419,0.313
0.181,0.265,0.115,0.006,0.02,0,0.187,0.269,0.12,0.178,0.217,0.124,0.365,0.422,0.314
0.182,0.267,0.115,0.006,0.02,0,0.188,0.271,0.121,0.178,0.217,0.124,0.366,0.424,0.314
0.184,0.27,0.116,0.006,0.02,0,0.19,0.273,0.121,0.178,0.217,0.124,0.368,0.427,0.315
0.148,0.222,0.094,0.005,0.016,0,0.153,0.227,0.098,0.135,0.164,0.099,0.288,0.345,0.242
0.149,0.224,0.094,0.005,0.016,0,0.154,0.228,0.099,0.135,0.164,0.099,0.289,0.347,0.242
0.15,0.225,0.095,0.005,0.016,0,0.154,0.23,0.099,0.135,0.164,0.099,0.289,0.349,0.242
0.15,0.226,0.095,0.005,0.015,0,0.155,0.231,0.099,0.135,0.164,0.099,0.29,0.35,0.242
0.151,0.228,0.095,0.005,0.015,0,0.156,0.232,0.099,0.135,0.164,0.099,0.29,0.352,0.242
