Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.579,1.124,0.229,0.31,0.876,0.019,0.889,1.925,0.348,3.479,3.852,2.463,4.368,4.707,4.126
0.567,1.068,0.228,0.313,0.9,0.019,0.881,1.894,0.346,3.479,3.852,2.463,4.36,4.699,4.121
0.56,1.039,0.227,0.314,0.911,0.019,0.875,1.873,0.345,3.479,3.852,2.464,4.354,4.693,4.12
0.555,1.021,0.227,0.315,0.917,0.019,0.87,1.859,0.344,3.479,3.852,2.464,4.349,4.688,4.119
0.552,1.008,0.226,0.315,0.924,0.019,0.867,1.849,0.344,3.479,3.852,2.464,4.346,4.684,4.119
0.553,1.003,0.228,0.317,0.935,0.019,0.87,1.853,0.346,3.183,3.523,2.273,4.054,4.418,3.796
0.551,0.995,0.227,0.318,0.942,0.019,0.869,1.849,0.346,3.183,3.523,2.273,4.052,4.416,3.796
0.549,0.988,0.227,0.318,0.948,0.019,0.867,1.847,0.346,3.183,3.523,2.273,4.051,4.415,3.796
0.548,0.983,0.227,0.318,0.952,0.019,0.866,1.845,0.346,3.183,3.523,2.273,4.05,4.413,3.795
0.547,0.979,0.227,0.319,0.956,0.019,0.866,1.844,0.346,3.183,3.523,2.273,4.049,4.412,3.795
0.482,0.875,0.199,0.281,0.854,0.016,0.763,1.643,0.302,2.88,3.215,2.077,3.643,4.018,3.393
0.482,0.873,0.199,0.281,0.856,0.016,0.763,1.643,0.302,2.88,3.215,2.077,3.642,4.018,3.393
0.481,0.872,0.199,0.281,0.858,0.016,0.762,1.644,0.302,2.88,3.215,2.077,3.642,4.017,3.394
0.481,0.871,0.199,0.281,0.86,0.016,0.762,1.644,0.302,2.88,3.215,2.077,3.642,4.017,3.394
0.159,0.227,0.094,0.008,0.034,0.001,0.168,0.23,0.102,0.244,0.308,0.18,0.412,0.475,0.358
0.143,0.202,0.088,0.007,0.029,0,0.15,0.204,0.093,0.222,0.279,0.166,0.372,0.425,0.325
0.147,0.207,0.093,0.007,0.029,0,0.155,0.209,0.096,0.222,0.279,0.166,0.377,0.429,0.329
0.152,0.213,0.097,0.007,0.029,0,0.159,0.214,0.099,0.222,0.279,0.166,0.381,0.433,0.334
0.157,0.218,0.1,0.007,0.029,0,0.164,0.22,0.102,0.222,0.279,0.166,0.386,0.438,0.337
0.161,0.225,0.102,0.007,0.029,0,0.168,0.226,0.105,0.222,0.279,0.166,0.39,0.442,0.341
0.169,0.235,0.107,0.007,0.029,0,0.176,0.236,0.109,0.209,0.261,0.158,0.385,0.438,0.336
0.174,0.242,0.109,0.007,0.029,0,0.181,0.242,0.111,0.209,0.261,0.158,0.39,0.445,0.339
0.179,0.248,0.112,0.007,0.028,0,0.186,0.249,0.114,0.209,0.261,0.158,0.394,0.451,0.342
0.183,0.254,0.114,0.007,0.028,0,0.19,0.257,0.117,0.209,0.261,0.158,0.399,0.458,0.344
0.188,0.26,0.117,0.007,0.028,0,0.195,0.264,0.119,0.209,0.261,0.158,0.403,0.464,0.347
0.195,0.27,0.12,0.007,0.028,0,0.202,0.277,0.122,0.194,0.243,0.148,0.395,0.46,0.336
0.199,0.277,0.122,0.007,0.027,0,0.206,0.285,0.124,0.194,0.243,0.148,0.4,0.466,0.338
0.204,0.282,0.124,0.006,0.027,0,0.21,0.292,0.126,0.194,0.243,0.148,0.404,0.471,0.34
0.208,0.288,0.126,0.006,0.026,0,0.214,0.3,0.128,0.194,0.243,0.148,0.408,0.477,0.342
0.211,0.293,0.128,0.006,0.026,0,0.218,0.307,0.13,0.194,0.243,0.148,0.411,0.482,0.344
0.215,0.297,0.13,0.006,0.026,0,0.221,0.313,0.132,0.194,0.243,0.148,0.415,0.487,0.346
0.218,0.301,0.131,0.006,0.025,0,0.224,0.32,0.133,0.194,0.243,0.148,0.418,0.491,0.348
0.221,0.308,0.133,0.006,0.025,0,0.227,0.326,0.135,0.194,0.243,0.148,0.421,0.496,0.349
0.224,0.314,0.134,0.006,0.025,0,0.23,0.332,0.136,0.194,0.243,0.148,0.423,0.5,0.351
0.227,0.321,0.135,0.006,0.024,0,0.232,0.338,0.137,0.194,0.243,0.148,0.426,0.504,0.352
0.191,0.284,0.113,0.005,0.02,0,0.196,0.299,0.114,0.177,0.22,0.138,0.372,0.443,0.313
0.193,0.289,0.114,0.005,0.02,0,0.198,0.304,0.115,0.176,0.22,0.138,0.374,0.446,0.314
0.195,0.295,0.115,0.005,0.019,0,0.2,0.309,0.115,0.176,0.22,0.138,0.376,0.449,0.315
0.197,0.3,0.115,0.005,0.019,0,0.201,0.314,0.116,0.176,0.22,0.138,0.378,0.452,0.316
0.198,0.304,0.116,0.005,0.019,0,0.203,0.318,0.117,0.176,0.22,0.138,0.379,0.456,0.316
0.16,0.265,0.09,0.004,0.015,0,0.164,0.272,0.091,0.134,0.174,0.106,0.298,0.388,0.244
0.161,0.27,0.091,0.004,0.015,0,0.165,0.276,0.091,0.134,0.174,0.106,0.299,0.392,0.244
0.162,0.273,0.091,0.004,0.015,0,0.166,0.28,0.091,0.134,0.174,0.106,0.3,0.395,0.244
0.163,0.277,0.091,0.004,0.015,0,0.167,0.284,0.092,0.134,0.174,0.106,0.301,0.399,0.245
0.164,0.28,0.091,0.004,0.015,0,0.168,0.287,0.092,0.134,0.174,0.106,0.301,0.402,0.245
