Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.375,0.778,0.148,0.158,0.46,0.008,0.533,1.238,0.224,3.605,3.918,2.784,4.139,4.518,3.799
0.372,0.757,0.148,0.158,0.465,0.008,0.53,1.222,0.224,3.605,3.918,2.784,4.136,4.516,3.796
0.369,0.743,0.148,0.159,0.468,0.008,0.528,1.211,0.223,3.605,3.918,2.784,4.134,4.514,3.794
0.368,0.733,0.148,0.159,0.469,0.008,0.527,1.202,0.223,3.605,3.918,2.784,4.132,4.513,3.792
0.366,0.726,0.147,0.159,0.47,0.008,0.525,1.195,0.223,3.605,3.918,2.784,4.131,4.512,3.792
0.368,0.726,0.149,0.159,0.473,0.008,0.528,1.199,0.225,3.31,3.611,2.556,3.838,4.233,3.492
0.368,0.722,0.149,0.16,0.473,0.008,0.527,1.195,0.225,3.31,3.611,2.556,3.837,4.232,3.491
0.367,0.718,0.149,0.16,0.474,0.008,0.527,1.192,0.225,3.31,3.611,2.556,3.837,4.232,3.491
0.367,0.715,0.149,0.16,0.475,0.008,0.526,1.19,0.225,3.31,3.611,2.556,3.836,4.231,3.49
0.366,0.713,0.149,0.16,0.475,0.008,0.526,1.188,0.225,3.31,3.611,2.556,3.836,4.231,3.49
0.325,0.63,0.13,0.141,0.42,0.007,0.466,1.051,0.196,3.007,3.296,2.321,3.472,3.866,3.127
0.324,0.629,0.131,0.141,0.421,0.007,0.466,1.05,0.197,3.007,3.296,2.321,3.472,3.866,3.127
0.324,0.629,0.131,0.141,0.421,0.007,0.466,1.049,0.197,3.007,3.296,2.321,3.472,3.866,3.127
0.324,0.628,0.131,0.141,0.421,0.007,0.466,1.049,0.197,3.007,3.296,2.321,3.472,3.866,3.127
0.153,0.217,0.105,0.007,0.023,0,0.161,0.228,0.114,0.253,0.32,0.185,0.414,0.469,0.371
0.137,0.197,0.095,0.006,0.02,0,0.144,0.206,0.102,0.231,0.295,0.169,0.375,0.421,0.335
0.141,0.201,0.098,0.007,0.02,0,0.148,0.211,0.105,0.231,0.295,0.169,0.378,0.425,0.338
0.145,0.206,0.1,0.007,0.02,0,0.151,0.217,0.107,0.231,0.295,0.169,0.382,0.429,0.341
0.148,0.211,0.102,0.007,0.02,0,0.155,0.223,0.11,0.231,0.295,0.169,0.386,0.434,0.345
0.152,0.216,0.104,0.006,0.02,0,0.159,0.228,0.112,0.231,0.295,0.169,0.389,0.438,0.348
0.158,0.224,0.108,0.006,0.02,0,0.165,0.237,0.116,0.218,0.28,0.159,0.382,0.429,0.342
0.162,0.23,0.11,0.006,0.02,0,0.169,0.242,0.118,0.218,0.28,0.159,0.386,0.433,0.346
0.166,0.236,0.112,0.006,0.019,0,0.172,0.248,0.12,0.218,0.28,0.159,0.39,0.438,0.349
0.17,0.242,0.114,0.006,0.019,0,0.176,0.253,0.122,0.218,0.28,0.159,0.394,0.442,0.352
0.173,0.249,0.116,0.006,0.019,0,0.179,0.259,0.124,0.218,0.28,0.159,0.397,0.447,0.354
0.179,0.259,0.118,0.006,0.018,0,0.185,0.267,0.126,0.203,0.263,0.148,0.387,0.438,0.344
0.182,0.265,0.12,0.006,0.018,0,0.188,0.272,0.128,0.203,0.263,0.148,0.391,0.443,0.347
0.185,0.271,0.122,0.006,0.018,0,0.191,0.277,0.13,0.203,0.263,0.148,0.394,0.448,0.349
0.188,0.276,0.123,0.006,0.017,0,0.194,0.282,0.131,0.203,0.263,0.148,0.397,0.451,0.351
0.191,0.281,0.125,0.006,0.017,0,0.197,0.287,0.133,0.203,0.263,0.148,0.4,0.455,0.352
0.194,0.286,0.126,0.006,0.017,0,0.2,0.292,0.134,0.203,0.263,0.148,0.402,0.458,0.354
0.196,0.29,0.127,0.006,0.017,0,0.202,0.296,0.136,0.203,0.263,0.148,0.405,0.461,0.355
0.199,0.295,0.128,0.006,0.017,0,0.204,0.3,0.137,0.203,0.263,0.148,0.407,0.464,0.356
0.201,0.299,0.129,0.006,0.017,0,0.206,0.304,0.138,0.203,0.263,0.148,0.409,0.466,0.357
0.203,0.303,0.13,0.006,0.017,0,0.208,0.307,0.14,0.203,0.263,0.148,0.411,0.469,0.358
0.172,0.256,0.113,0.005,0.014,0,0.176,0.259,0.118,0.186,0.244,0.136,0.362,0.411,0.316
0.173,0.259,0.113,0.005,0.014,0,0.178,0.262,0.118,0.186,0.244,0.136,0.363,0.414,0.317
0.175,0.261,0.114,0.005,0.014,0,0.179,0.264,0.119,0.186,0.244,0.136,0.365,0.416,0.317
0.176,0.263,0.115,0.004,0.014,0,0.18,0.266,0.119,0.186,0.244,0.136,0.366,0.418,0.318
0.177,0.265,0.115,0.004,0.014,0,0.182,0.268,0.12,0.186,0.244,0.136,0.367,0.42,0.319
0.144,0.216,0.092,0.004,0.011,0,0.148,0.219,0.096,0.143,0.184,0.105,0.291,0.345,0.249
0.145,0.218,0.092,0.004,0.011,0,0.149,0.22,0.096,0.143,0.184,0.105,0.292,0.345,0.249
0.146,0.219,0.092,0.004,0.011,0,0.149,0.221,0.096,0.143,0.184,0.105,0.293,0.346,0.25
0.146,0.22,0.093,0.004,0.011,0,0.15,0.223,0.096,0.143,0.184,0.105,0.293,0.347,0.25
0.147,0.221,0.093,0.004,0.011,0,0.151,0.223,0.097,0.143,0.184,0.105,0.294,0.348,0.25
