Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.326,0.697,0.148,0.119,0.381,0.003,0.445,1.047,0.166,3.325,3.821,2.606,3.77,4.11,3.528
0.322,0.678,0.148,0.12,0.382,0.003,0.442,1.031,0.165,3.325,3.821,2.606,3.767,4.109,3.522
0.32,0.666,0.148,0.12,0.383,0.003,0.44,1.02,0.165,3.325,3.821,2.606,3.765,4.108,3.512
0.318,0.657,0.148,0.12,0.383,0.003,0.438,1.012,0.165,3.325,3.821,2.606,3.763,4.107,3.504
0.317,0.65,0.148,0.12,0.383,0.003,0.436,1.005,0.164,3.325,3.821,2.606,3.761,4.106,3.499
0.318,0.65,0.149,0.12,0.385,0.003,0.439,1.007,0.166,3.053,3.533,2.376,3.491,3.841,3.264
0.317,0.645,0.149,0.12,0.386,0.003,0.438,1.003,0.166,3.053,3.533,2.376,3.491,3.84,3.262
0.317,0.642,0.149,0.12,0.386,0.003,0.437,1,0.165,3.053,3.533,2.376,3.49,3.84,3.261
0.316,0.639,0.149,0.12,0.386,0.003,0.437,0.998,0.165,3.053,3.533,2.376,3.49,3.84,3.261
0.316,0.637,0.149,0.12,0.387,0.003,0.436,0.996,0.165,3.053,3.534,2.376,3.489,3.839,3.261
0.279,0.567,0.131,0.106,0.337,0.002,0.385,0.886,0.145,2.773,3.238,2.14,3.159,3.52,2.922
0.279,0.566,0.131,0.106,0.338,0.002,0.385,0.886,0.145,2.773,3.238,2.14,3.159,3.52,2.922
0.279,0.566,0.131,0.106,0.338,0.002,0.385,0.885,0.146,2.773,3.238,2.14,3.159,3.52,2.922
0.279,0.565,0.131,0.106,0.338,0.002,0.385,0.885,0.146,2.773,3.238,2.14,3.159,3.52,2.922
0.153,0.211,0.079,0.009,0.047,0,0.163,0.237,0.09,0.325,0.406,0.249,0.487,0.532,0.432
0.137,0.186,0.071,0.008,0.041,0,0.145,0.211,0.08,0.296,0.369,0.228,0.442,0.487,0.39
0.141,0.191,0.073,0.008,0.041,0,0.149,0.216,0.082,0.296,0.369,0.228,0.446,0.491,0.394
0.145,0.196,0.075,0.008,0.041,0,0.153,0.221,0.085,0.296,0.369,0.228,0.45,0.494,0.398
0.149,0.201,0.077,0.008,0.041,0,0.157,0.226,0.086,0.296,0.369,0.228,0.454,0.498,0.401
0.153,0.207,0.079,0.008,0.041,0,0.161,0.232,0.088,0.296,0.369,0.228,0.458,0.504,0.405
0.16,0.215,0.082,0.008,0.04,0,0.168,0.241,0.091,0.279,0.347,0.215,0.447,0.496,0.395
0.164,0.221,0.083,0.008,0.04,0,0.172,0.248,0.093,0.279,0.347,0.215,0.451,0.502,0.399
0.168,0.227,0.085,0.008,0.039,0,0.176,0.254,0.094,0.279,0.347,0.215,0.455,0.508,0.402
0.172,0.232,0.087,0.008,0.039,0,0.179,0.26,0.096,0.279,0.347,0.215,0.459,0.51,0.406
0.175,0.237,0.088,0.008,0.038,0,0.183,0.265,0.097,0.279,0.347,0.215,0.462,0.513,0.409
0.181,0.245,0.09,0.008,0.038,0,0.189,0.273,0.099,0.26,0.325,0.201,0.449,0.506,0.396
0.184,0.25,0.091,0.008,0.037,0,0.192,0.278,0.101,0.26,0.325,0.201,0.452,0.511,0.399
0.188,0.255,0.093,0.008,0.037,0,0.195,0.282,0.102,0.26,0.325,0.201,0.455,0.515,0.401
0.191,0.259,0.094,0.007,0.036,0,0.198,0.286,0.103,0.26,0.325,0.201,0.458,0.52,0.404
0.193,0.263,0.094,0.007,0.036,0,0.201,0.29,0.104,0.26,0.325,0.201,0.461,0.524,0.405
0.196,0.266,0.095,0.007,0.035,0,0.203,0.294,0.104,0.26,0.325,0.201,0.463,0.527,0.405
0.198,0.27,0.096,0.007,0.035,0,0.206,0.298,0.105,0.26,0.325,0.201,0.466,0.531,0.406
0.2,0.273,0.097,0.007,0.035,0,0.208,0.301,0.106,0.26,0.325,0.201,0.468,0.534,0.407
0.202,0.276,0.098,0.007,0.034,0,0.21,0.304,0.107,0.26,0.325,0.201,0.47,0.537,0.408
0.204,0.28,0.098,0.007,0.034,0,0.211,0.307,0.107,0.26,0.325,0.201,0.472,0.54,0.408
0.173,0.242,0.083,0.006,0.028,0,0.178,0.262,0.091,0.238,0.3,0.183,0.417,0.473,0.364
0.174,0.245,0.083,0.006,0.028,0,0.18,0.265,0.091,0.238,0.3,0.183,0.418,0.476,0.365
0.175,0.247,0.084,0.006,0.028,0,0.181,0.267,0.091,0.238,0.3,0.183,0.419,0.479,0.366
0.176,0.249,0.084,0.006,0.027,0,0.182,0.269,0.092,0.238,0.3,0.183,0.42,0.481,0.367
0.178,0.252,0.084,0.006,0.027,0,0.183,0.271,0.092,0.238,0.3,0.183,0.422,0.483,0.368
0.144,0.216,0.069,0.005,0.022,0,0.149,0.224,0.075,0.184,0.232,0.139,0.332,0.388,0.285
0.145,0.218,0.069,0.005,0.022,0,0.15,0.225,0.075,0.184,0.232,0.139,0.333,0.39,0.285
0.146,0.219,0.069,0.005,0.022,0,0.15,0.226,0.075,0.184,0.232,0.139,0.334,0.391,0.286
0.146,0.221,0.069,0.005,0.022,0,0.151,0.227,0.075,0.184,0.232,0.139,0.334,0.392,0.286
0.146,0.222,0.069,0.005,0.021,0,0.151,0.228,0.075,0.184,0.232,0.139,0.335,0.393,0.286
