Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.518,0.837,0.256,0.286,0.644,0.02,0.804,1.303,0.425,3.253,3.613,2.613,4.058,4.403,3.77
0.51,0.809,0.255,0.287,0.646,0.02,0.797,1.283,0.421,3.253,3.613,2.613,4.05,4.39,3.766
0.504,0.79,0.254,0.288,0.646,0.02,0.791,1.268,0.419,3.253,3.613,2.613,4.045,4.38,3.764
0.499,0.778,0.253,0.288,0.647,0.02,0.787,1.257,0.417,3.253,3.613,2.613,4.041,4.372,3.762
0.496,0.769,0.253,0.288,0.648,0.02,0.784,1.249,0.415,3.253,3.613,2.613,4.038,4.366,3.761
0.498,0.769,0.254,0.29,0.653,0.02,0.788,1.252,0.418,2.958,3.293,2.366,3.745,4.086,3.458
0.496,0.763,0.254,0.29,0.654,0.02,0.786,1.248,0.418,2.958,3.293,2.366,3.744,4.085,3.457
0.495,0.759,0.253,0.29,0.655,0.02,0.785,1.244,0.417,2.958,3.293,2.366,3.742,4.084,3.456
0.494,0.756,0.253,0.29,0.656,0.02,0.784,1.242,0.417,2.958,3.293,2.366,3.741,4.083,3.455
0.493,0.753,0.253,0.29,0.657,0.02,0.783,1.24,0.416,2.958,3.293,2.366,3.741,4.083,3.454
0.43,0.656,0.221,0.253,0.57,0.018,0.683,1.087,0.361,2.654,2.962,2.112,3.337,3.668,3.071
0.43,0.655,0.221,0.253,0.57,0.018,0.683,1.086,0.361,2.654,2.962,2.112,3.337,3.668,3.071
0.43,0.654,0.221,0.253,0.571,0.018,0.683,1.086,0.361,2.654,2.962,2.112,3.337,3.668,3.071
0.429,0.653,0.221,0.253,0.571,0.018,0.682,1.086,0.361,2.654,2.962,2.112,3.336,3.668,3.071
0.144,0.21,0.089,0.012,0.037,0,0.156,0.226,0.091,0.332,0.393,0.253,0.488,0.537,0.445
0.127,0.184,0.078,0.01,0.032,0,0.138,0.201,0.08,0.299,0.353,0.227,0.437,0.483,0.397
0.131,0.19,0.081,0.01,0.032,0,0.142,0.207,0.082,0.299,0.353,0.227,0.441,0.487,0.4
0.135,0.196,0.084,0.01,0.032,0,0.146,0.214,0.085,0.299,0.353,0.227,0.445,0.49,0.403
0.139,0.201,0.086,0.01,0.032,0,0.15,0.22,0.088,0.299,0.353,0.227,0.449,0.494,0.405
0.143,0.207,0.089,0.01,0.032,0,0.154,0.226,0.09,0.299,0.353,0.227,0.453,0.498,0.408
0.15,0.217,0.093,0.01,0.031,0,0.16,0.237,0.094,0.279,0.331,0.212,0.44,0.482,0.399
0.154,0.224,0.095,0.01,0.031,0,0.164,0.244,0.096,0.279,0.331,0.212,0.444,0.486,0.402
0.158,0.23,0.097,0.01,0.031,0,0.168,0.25,0.099,0.279,0.331,0.212,0.448,0.49,0.406
0.162,0.236,0.099,0.01,0.03,0,0.172,0.256,0.101,0.279,0.331,0.212,0.451,0.494,0.409
0.166,0.242,0.101,0.01,0.03,0,0.176,0.263,0.103,0.279,0.331,0.212,0.455,0.499,0.41
0.172,0.252,0.105,0.01,0.03,0,0.182,0.272,0.106,0.257,0.306,0.195,0.439,0.488,0.386
0.175,0.258,0.106,0.01,0.029,0,0.185,0.278,0.108,0.257,0.306,0.195,0.442,0.493,0.387
0.179,0.264,0.108,0.01,0.029,0,0.188,0.283,0.109,0.257,0.306,0.195,0.446,0.498,0.388
0.182,0.27,0.11,0.01,0.029,0,0.191,0.288,0.111,0.257,0.306,0.195,0.449,0.503,0.389
0.185,0.276,0.111,0.01,0.028,0,0.194,0.292,0.112,0.257,0.306,0.195,0.451,0.507,0.389
0.187,0.281,0.112,0.01,0.028,0,0.197,0.297,0.114,0.257,0.306,0.195,0.454,0.512,0.39
0.19,0.287,0.113,0.009,0.028,0,0.199,0.301,0.115,0.257,0.306,0.195,0.457,0.516,0.391
0.192,0.291,0.114,0.009,0.027,0,0.202,0.305,0.116,0.257,0.306,0.195,0.459,0.52,0.391
0.194,0.294,0.115,0.009,0.027,0,0.204,0.308,0.117,0.257,0.306,0.195,0.461,0.523,0.392
0.196,0.298,0.116,0.009,0.027,0,0.206,0.312,0.117,0.257,0.306,0.195,0.463,0.527,0.392
0.162,0.248,0.094,0.008,0.021,0,0.17,0.26,0.095,0.232,0.277,0.176,0.401,0.454,0.345
0.164,0.251,0.095,0.007,0.021,0,0.171,0.262,0.096,0.232,0.277,0.176,0.403,0.457,0.345
0.165,0.253,0.095,0.007,0.021,0,0.173,0.265,0.096,0.232,0.277,0.176,0.404,0.459,0.345
0.166,0.255,0.096,0.007,0.021,0,0.174,0.267,0.097,0.232,0.277,0.176,0.406,0.462,0.346
0.168,0.258,0.096,0.007,0.02,0,0.175,0.269,0.097,0.232,0.277,0.176,0.407,0.464,0.346
0.131,0.205,0.074,0.006,0.015,0,0.137,0.214,0.077,0.169,0.206,0.129,0.306,0.355,0.252
0.132,0.207,0.074,0.006,0.015,0,0.138,0.216,0.078,0.169,0.206,0.129,0.306,0.357,0.253
0.133,0.208,0.074,0.006,0.015,0,0.138,0.217,0.078,0.169,0.206,0.129,0.307,0.359,0.253
0.133,0.209,0.074,0.006,0.015,0,0.139,0.219,0.078,0.169,0.206,0.129,0.308,0.36,0.253
0.134,0.21,0.074,0.006,0.015,0,0.139,0.22,0.078,0.169,0.206,0.129,0.308,0.362,0.253
