Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.713,1.083,0.394,0.43,0.794,0.08,1.142,1.793,0.626,3.43,3.886,2.746,4.572,5.091,4.225
0.533,0.857,0.268,0.496,0.94,0.109,1.029,1.609,0.485,3.437,3.889,2.75,4.465,4.934,4.135
0.601,1.114,0.249,0.44,0.995,0.08,1.041,1.678,0.554,3.437,3.89,2.746,4.478,4.962,4.139
0.593,0.968,0.295,0.442,0.906,0.094,1.036,1.654,0.525,3.438,3.889,2.751,4.473,5.013,4.14
0.715,1.064,0.36,0.368,0.834,0.074,1.083,1.654,0.603,3.434,3.887,2.746,4.518,5.006,4.125
0.642,0.987,0.34,0.412,0.793,0.075,1.053,1.671,0.56,3.145,3.565,2.512,4.198,4.711,3.868
0.699,1.038,0.364,0.373,0.728,0.079,1.072,1.665,0.572,3.144,3.568,2.512,4.216,4.687,3.894
0.703,1.07,0.351,0.366,0.793,0.064,1.069,1.654,0.552,3.145,3.572,2.512,4.214,4.693,3.873
0.617,0.986,0.34,0.413,0.749,0.075,1.03,1.612,0.545,3.147,3.57,2.517,4.177,4.711,3.864
0.654,0.964,0.319,0.393,0.786,0.081,1.046,1.641,0.56,3.144,3.573,2.514,4.19,4.698,3.891
0.544,0.8,0.296,0.354,0.72,0.06,0.898,1.438,0.507,2.849,3.257,2.276,3.747,4.227,3.41
0.561,0.842,0.325,0.363,0.746,0.06,0.924,1.427,0.482,2.844,3.257,2.274,3.768,4.293,3.419
0.55,0.807,0.266,0.362,0.687,0.067,0.912,1.422,0.484,2.845,3.258,2.276,3.757,4.269,3.428
0.528,0.854,0.281,0.376,0.707,0.07,0.904,1.417,0.485,2.845,3.258,2.275,3.749,4.276,3.41
0.56,0.829,0.29,0.351,0.66,0.063,0.911,1.426,0.512,2.846,3.258,2.273,3.757,4.236,3.407
0.476,0.708,0.237,0.311,0.648,0.062,0.787,1.253,0.398,2.586,3.009,2.068,3.373,3.9,3.064
0.474,0.718,0.24,0.307,0.602,0.058,0.781,1.25,0.419,2.588,3.009,2.073,3.369,3.901,3.041
0.474,0.701,0.25,0.311,0.616,0.058,0.785,1.241,0.408,2.587,3.01,2.068,3.371,3.874,3.055
0.474,0.712,0.261,0.308,0.631,0.054,0.783,1.237,0.425,2.588,3.011,2.069,3.371,3.851,3.05
0.477,0.71,0.256,0.307,0.583,0.059,0.784,1.24,0.42,2.587,3.01,2.068,3.371,3.858,3.054
0.48,0.713,0.243,0.31,0.607,0.059,0.79,1.241,0.411,2.434,2.85,1.934,3.224,3.722,2.917
0.48,0.712,0.251,0.311,0.606,0.056,0.791,1.252,0.403,2.433,2.85,1.932,3.224,3.723,2.905
0.478,0.732,0.249,0.311,0.581,0.056,0.789,1.255,0.412,2.434,2.85,1.933,3.223,3.726,2.918
0.475,0.706,0.254,0.314,0.595,0.063,0.789,1.241,0.409,2.434,2.851,1.934,3.222,3.721,2.917
0.477,0.704,0.262,0.312,0.63,0.054,0.789,1.24,0.436,2.434,2.851,1.933,3.223,3.715,2.92
0.484,0.723,0.243,0.312,0.612,0.06,0.796,1.258,0.421,2.26,2.668,1.778,3.056,3.576,2.732
0.481,0.702,0.259,0.314,0.616,0.061,0.794,1.245,0.418,2.26,2.669,1.778,3.055,3.571,2.735
0.482,0.716,0.26,0.313,0.609,0.06,0.795,1.244,0.417,2.26,2.669,1.778,3.055,3.566,2.736
0.482,0.709,0.248,0.312,0.591,0.059,0.794,1.247,0.416,2.261,2.669,1.777,3.055,3.563,2.731
0.484,0.72,0.26,0.311,0.605,0.061,0.795,1.249,0.413,2.26,2.669,1.778,3.056,3.561,2.729
0.482,0.711,0.251,0.312,0.598,0.061,0.794,1.25,0.419,2.261,2.668,1.778,3.055,3.563,2.735
0.483,0.712,0.249,0.312,0.621,0.06,0.795,1.247,0.422,2.26,2.669,1.777,3.056,3.563,2.74
0.483,0.714,0.25,0.312,0.597,0.06,0.795,1.242,0.418,2.261,2.669,1.778,3.055,3.56,2.736
0.482,0.714,0.254,0.311,0.603,0.061,0.793,1.24,0.414,2.261,2.669,1.778,3.054,3.566,2.728
0.483,0.707,0.26,0.312,0.601,0.061,0.794,1.234,0.423,2.26,2.669,1.777,3.055,3.556,2.739
0.407,0.615,0.209,0.26,0.506,0.049,0.667,1.08,0.345,2.062,2.474,1.62,2.729,3.224,2.429
0.407,0.607,0.212,0.26,0.509,0.047,0.667,1.076,0.354,2.062,2.474,1.62,2.729,3.225,2.429
0.408,0.614,0.215,0.259,0.498,0.048,0.667,1.071,0.349,2.062,2.474,1.621,2.729,3.22,2.431
0.408,0.611,0.214,0.259,0.502,0.048,0.667,1.064,0.351,2.062,2.474,1.621,2.729,3.22,2.431
0.408,0.613,0.213,0.258,0.498,0.048,0.667,1.059,0.347,2.062,2.474,1.62,2.729,3.215,2.432
0.345,0.526,0.173,0.21,0.415,0.038,0.556,0.929,0.283,1.566,1.981,1.201,2.122,2.652,1.803
0.348,0.526,0.175,0.21,0.409,0.038,0.558,0.926,0.286,1.566,1.98,1.201,2.124,2.652,1.805
0.349,0.527,0.177,0.209,0.403,0.037,0.559,0.923,0.289,1.566,1.98,1.201,2.125,2.652,1.807
0.351,0.527,0.178,0.208,0.409,0.038,0.56,0.916,0.288,1.566,1.98,1.201,2.126,2.648,1.808
0.353,0.523,0.18,0.208,0.407,0.038,0.56,0.908,0.291,1.566,1.981,1.201,2.126,2.645,1.81
