Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.3,0.651,0.137,0.125,0.454,0.005,0.425,1.129,0.183,3.452,3.845,2.844,3.877,4.193,3.648
0.297,0.636,0.136,0.125,0.457,0.005,0.422,1.117,0.182,3.452,3.845,2.844,3.874,4.189,3.646
0.295,0.625,0.136,0.126,0.458,0.005,0.421,1.107,0.182,3.452,3.845,2.844,3.872,4.186,3.645
0.294,0.618,0.136,0.126,0.459,0.005,0.419,1.1,0.182,3.452,3.845,2.844,3.871,4.184,3.645
0.293,0.612,0.136,0.126,0.459,0.005,0.418,1.094,0.182,3.452,3.845,2.844,3.87,4.183,3.644
0.294,0.612,0.137,0.126,0.462,0.005,0.42,1.097,0.183,3.162,3.535,2.617,3.583,3.913,3.35
0.294,0.608,0.137,0.126,0.462,0.005,0.42,1.094,0.183,3.162,3.535,2.617,3.582,3.912,3.349
0.293,0.605,0.137,0.126,0.463,0.005,0.419,1.091,0.183,3.162,3.535,2.617,3.582,3.911,3.349
0.293,0.603,0.137,0.126,0.464,0.005,0.419,1.09,0.183,3.162,3.535,2.617,3.581,3.911,3.349
0.293,0.601,0.137,0.126,0.464,0.005,0.419,1.088,0.183,3.162,3.535,2.617,3.581,3.91,3.349
0.258,0.536,0.121,0.111,0.411,0.004,0.369,0.97,0.16,2.865,3.217,2.383,3.235,3.566,3.005
0.258,0.535,0.121,0.111,0.412,0.004,0.369,0.969,0.16,2.865,3.217,2.383,3.235,3.566,3.005
0.258,0.534,0.121,0.111,0.412,0.004,0.369,0.969,0.16,2.865,3.217,2.383,3.235,3.566,3.005
0.258,0.534,0.121,0.111,0.412,0.004,0.369,0.969,0.16,2.865,3.217,2.383,3.235,3.566,3.005
0.144,0.206,0.083,0.01,0.033,0,0.154,0.207,0.095,0.332,0.39,0.253,0.485,0.539,0.439
0.128,0.182,0.075,0.008,0.029,0,0.137,0.183,0.086,0.302,0.354,0.234,0.439,0.484,0.4
0.132,0.187,0.078,0.008,0.029,0,0.14,0.187,0.088,0.302,0.354,0.234,0.442,0.488,0.402
0.135,0.192,0.081,0.008,0.029,0,0.144,0.192,0.091,0.302,0.354,0.234,0.446,0.491,0.406
0.139,0.197,0.084,0.008,0.029,0,0.147,0.198,0.093,0.302,0.354,0.234,0.449,0.495,0.409
0.143,0.202,0.086,0.008,0.029,0,0.151,0.203,0.095,0.302,0.354,0.234,0.453,0.499,0.411
0.148,0.211,0.09,0.008,0.029,0,0.157,0.211,0.098,0.284,0.334,0.222,0.441,0.486,0.395
0.152,0.216,0.093,0.008,0.029,0,0.16,0.217,0.101,0.284,0.334,0.222,0.444,0.489,0.398
0.155,0.222,0.095,0.008,0.029,0,0.164,0.222,0.103,0.284,0.334,0.222,0.448,0.493,0.4
0.159,0.227,0.097,0.008,0.029,0,0.167,0.227,0.105,0.284,0.334,0.222,0.451,0.496,0.402
0.162,0.232,0.099,0.008,0.028,0,0.17,0.232,0.106,0.284,0.334,0.222,0.454,0.5,0.404
0.167,0.239,0.102,0.008,0.028,0,0.175,0.24,0.109,0.264,0.312,0.209,0.439,0.484,0.385
0.17,0.244,0.104,0.008,0.028,0,0.178,0.245,0.111,0.264,0.312,0.209,0.442,0.489,0.387
0.173,0.249,0.106,0.008,0.028,0,0.181,0.249,0.112,0.264,0.312,0.209,0.445,0.493,0.388
0.175,0.253,0.107,0.008,0.027,0,0.183,0.253,0.113,0.264,0.312,0.209,0.447,0.497,0.389
0.178,0.256,0.109,0.008,0.027,0,0.186,0.257,0.114,0.264,0.312,0.209,0.449,0.5,0.39
0.18,0.26,0.11,0.008,0.027,0,0.188,0.261,0.115,0.264,0.312,0.209,0.452,0.503,0.391
0.182,0.263,0.111,0.008,0.027,0,0.19,0.265,0.116,0.264,0.312,0.209,0.454,0.506,0.392
0.184,0.266,0.113,0.008,0.026,0,0.192,0.268,0.117,0.264,0.312,0.209,0.456,0.508,0.393
0.186,0.268,0.113,0.007,0.026,0,0.193,0.271,0.118,0.264,0.312,0.209,0.457,0.511,0.394
0.187,0.271,0.114,0.007,0.026,0,0.195,0.274,0.119,0.264,0.312,0.209,0.459,0.513,0.395
0.158,0.226,0.095,0.006,0.022,0,0.164,0.229,0.101,0.241,0.287,0.194,0.405,0.452,0.355
0.159,0.228,0.095,0.006,0.021,0,0.165,0.231,0.101,0.241,0.287,0.194,0.406,0.454,0.355
0.16,0.23,0.096,0.006,0.021,0,0.166,0.233,0.102,0.241,0.287,0.194,0.407,0.456,0.356
0.161,0.232,0.096,0.006,0.021,0,0.167,0.234,0.102,0.241,0.287,0.194,0.408,0.458,0.356
0.162,0.233,0.097,0.006,0.021,0,0.168,0.236,0.103,0.241,0.287,0.194,0.409,0.46,0.357
0.131,0.186,0.076,0.005,0.017,0,0.135,0.188,0.08,0.184,0.217,0.148,0.319,0.37,0.272
0.131,0.187,0.076,0.005,0.017,0,0.136,0.19,0.08,0.184,0.217,0.148,0.32,0.371,0.272
0.132,0.188,0.076,0.005,0.017,0,0.136,0.19,0.08,0.184,0.217,0.148,0.32,0.372,0.272
0.132,0.189,0.076,0.005,0.017,0,0.137,0.191,0.081,0.184,0.217,0.148,0.32,0.373,0.272
0.132,0.19,0.076,0.005,0.017,0,0.137,0.192,0.081,0.184,0.217,0.148,0.321,0.373,0.272
