Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
1.166,1.357,0.924,0.672,0.985,0.379,1.838,2.192,1.54,3.726,3.995,3.31,5.564,5.957,5.231
1.125,1.3,0.902,0.691,1.02,0.394,1.816,2.174,1.509,3.726,3.995,3.31,5.542,5.941,5.214
1.103,1.273,0.89,0.699,1.035,0.401,1.803,2.162,1.497,3.726,3.995,3.31,5.528,5.93,5.2
1.091,1.26,0.882,0.703,1.043,0.403,1.794,2.153,1.492,3.726,3.995,3.31,5.52,5.923,5.191
1.083,1.251,0.877,0.705,1.048,0.404,1.788,2.148,1.486,3.726,3.995,3.31,5.514,5.918,5.186
1.083,1.252,0.88,0.71,1.057,0.406,1.793,2.154,1.49,3.408,3.677,3.023,5.201,5.627,4.878
1.078,1.246,0.876,0.712,1.063,0.407,1.79,2.152,1.486,3.408,3.677,3.023,5.198,5.624,4.875
1.074,1.242,0.874,0.714,1.068,0.408,1.788,2.15,1.482,3.408,3.677,3.023,5.195,5.622,4.872
1.07,1.238,0.871,0.716,1.073,0.409,1.786,2.149,1.48,3.408,3.677,3.023,5.193,5.621,4.87
1.067,1.235,0.869,0.717,1.076,0.41,1.784,2.148,1.478,3.408,3.677,3.023,5.192,5.62,4.868
0.936,1.082,0.756,0.629,0.952,0.358,1.565,1.888,1.284,3.081,3.349,2.732,4.646,5.089,4.329
0.934,1.081,0.755,0.63,0.953,0.358,1.565,1.888,1.284,3.081,3.349,2.732,4.645,5.089,4.328
0.933,1.08,0.755,0.631,0.955,0.359,1.564,1.888,1.283,3.081,3.349,2.732,4.645,5.089,4.328
0.932,1.079,0.754,0.632,0.956,0.359,1.564,1.888,1.282,3.081,3.349,2.732,4.645,5.088,4.328
0.133,0.204,0.069,0.006,0.02,0,0.139,0.209,0.072,0.11,0.17,0.054,0.249,0.301,0.201
0.12,0.186,0.063,0.005,0.017,0,0.126,0.19,0.065,0.1,0.154,0.049,0.226,0.271,0.182
0.125,0.193,0.066,0.005,0.017,0,0.131,0.196,0.068,0.1,0.154,0.049,0.231,0.276,0.186
0.13,0.199,0.069,0.005,0.017,0,0.136,0.203,0.071,0.1,0.154,0.049,0.236,0.282,0.19
0.136,0.207,0.071,0.005,0.017,0,0.141,0.209,0.073,0.1,0.154,0.049,0.241,0.289,0.193
0.141,0.214,0.074,0.005,0.017,0,0.146,0.216,0.076,0.1,0.154,0.049,0.246,0.296,0.196
0.15,0.228,0.078,0.005,0.017,0,0.155,0.23,0.08,0.094,0.145,0.046,0.249,0.304,0.197
0.155,0.235,0.081,0.005,0.017,0,0.16,0.238,0.082,0.094,0.145,0.046,0.255,0.311,0.201
0.161,0.242,0.083,0.005,0.016,0,0.166,0.246,0.085,0.094,0.145,0.046,0.26,0.319,0.205
0.166,0.249,0.085,0.005,0.016,0,0.171,0.253,0.087,0.094,0.145,0.046,0.265,0.326,0.208
0.172,0.256,0.088,0.005,0.016,0,0.176,0.261,0.09,0.094,0.145,0.046,0.27,0.333,0.211
0.18,0.271,0.091,0.005,0.016,0,0.185,0.275,0.093,0.087,0.134,0.043,0.272,0.338,0.209
0.186,0.28,0.093,0.005,0.015,0,0.19,0.283,0.095,0.087,0.134,0.043,0.278,0.346,0.213
0.191,0.287,0.095,0.004,0.015,0,0.195,0.29,0.097,0.087,0.134,0.043,0.282,0.354,0.216
0.196,0.294,0.097,0.004,0.015,0,0.2,0.297,0.099,0.087,0.134,0.043,0.287,0.362,0.218
0.2,0.301,0.099,0.004,0.015,0,0.204,0.303,0.1,0.087,0.134,0.043,0.292,0.369,0.22
0.204,0.307,0.1,0.004,0.014,0,0.209,0.31,0.102,0.087,0.134,0.043,0.296,0.376,0.221
0.209,0.312,0.102,0.004,0.014,0,0.213,0.316,0.103,0.087,0.134,0.043,0.3,0.382,0.223
0.213,0.319,0.103,0.004,0.014,0,0.216,0.322,0.105,0.087,0.134,0.043,0.304,0.388,0.224
0.216,0.324,0.104,0.004,0.013,0,0.22,0.327,0.106,0.087,0.134,0.043,0.307,0.394,0.225
0.22,0.329,0.105,0.004,0.013,0,0.223,0.332,0.107,0.087,0.134,0.043,0.311,0.399,0.226
0.186,0.284,0.087,0.003,0.011,0,0.189,0.285,0.088,0.079,0.123,0.039,0.268,0.341,0.198
0.188,0.288,0.088,0.003,0.011,0,0.191,0.289,0.089,0.079,0.123,0.039,0.271,0.345,0.199
0.191,0.292,0.089,0.003,0.01,0,0.194,0.293,0.09,0.079,0.123,0.039,0.273,0.349,0.2
0.193,0.295,0.089,0.003,0.01,0,0.196,0.296,0.091,0.079,0.123,0.039,0.276,0.354,0.201
0.195,0.298,0.09,0.003,0.01,0,0.198,0.299,0.091,0.079,0.123,0.039,0.278,0.358,0.202
0.158,0.242,0.071,0.002,0.008,0,0.161,0.245,0.073,0.06,0.092,0.029,0.22,0.291,0.158
0.16,0.245,0.071,0.002,0.008,0,0.162,0.248,0.073,0.06,0.092,0.029,0.222,0.293,0.158
0.161,0.249,0.071,0.002,0.008,0,0.163,0.25,0.074,0.06,0.092,0.029,0.223,0.296,0.159
0.162,0.251,0.072,0.002,0.008,0,0.165,0.252,0.074,0.06,0.092,0.029,0.224,0.298,0.159
0.163,0.253,0.072,0.002,0.007,0,0.166,0.254,0.074,0.06,0.092,0.029,0.225,0.3,0.16
