Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.963,1.253,0.629,0.577,0.877,0.263,1.54,2.053,1.075,3.569,4.022,2.998,5.108,5.563,4.746
0.933,1.2,0.62,0.589,0.891,0.265,1.521,2.027,1.059,3.569,4.022,2.998,5.09,5.544,4.728
0.916,1.172,0.614,0.593,0.9,0.266,1.509,2.01,1.049,3.569,4.022,2.998,5.078,5.53,4.707
0.905,1.157,0.609,0.595,0.905,0.267,1.501,1.999,1.043,3.569,4.022,2.998,5.07,5.521,4.694
0.898,1.146,0.606,0.597,0.909,0.267,1.495,1.992,1.038,3.569,4.022,2.998,5.064,5.514,4.686
0.898,1.144,0.607,0.601,0.915,0.268,1.499,1.997,1.042,3.271,3.691,2.742,4.77,5.252,4.41
0.893,1.137,0.605,0.602,0.918,0.268,1.495,1.994,1.039,3.271,3.691,2.742,4.767,5.248,4.407
0.89,1.132,0.603,0.603,0.921,0.268,1.493,1.992,1.037,3.271,3.691,2.742,4.764,5.245,4.405
0.886,1.127,0.601,0.605,0.924,0.268,1.491,1.991,1.035,3.271,3.691,2.742,4.762,5.243,4.403
0.884,1.123,0.6,0.606,0.926,0.268,1.49,1.99,1.034,3.271,3.691,2.742,4.761,5.241,4.402
0.778,0.991,0.528,0.534,0.826,0.235,1.312,1.757,0.91,2.966,3.363,2.48,4.278,4.764,3.926
0.777,0.99,0.527,0.534,0.827,0.235,1.312,1.757,0.909,2.966,3.363,2.48,4.277,4.763,3.925
0.776,0.988,0.527,0.535,0.828,0.235,1.311,1.758,0.909,2.966,3.363,2.48,4.277,4.763,3.925
0.776,0.988,0.526,0.535,0.829,0.235,1.311,1.758,0.909,2.966,3.363,2.48,4.277,4.763,3.925
0.139,0.209,0.074,0.007,0.025,0,0.147,0.224,0.084,0.172,0.243,0.12,0.318,0.374,0.262
0.127,0.189,0.068,0.006,0.022,0,0.133,0.201,0.077,0.156,0.22,0.109,0.289,0.34,0.24
0.131,0.195,0.071,0.006,0.022,0,0.138,0.207,0.081,0.156,0.22,0.109,0.294,0.345,0.245
0.136,0.202,0.074,0.006,0.022,0,0.143,0.213,0.084,0.156,0.22,0.109,0.299,0.351,0.249
0.142,0.209,0.077,0.006,0.022,0,0.148,0.22,0.088,0.156,0.22,0.109,0.304,0.358,0.253
0.147,0.216,0.081,0.006,0.022,0,0.153,0.226,0.091,0.156,0.22,0.109,0.309,0.365,0.257
0.155,0.229,0.086,0.006,0.022,0,0.161,0.238,0.096,0.147,0.206,0.102,0.309,0.367,0.254
0.161,0.237,0.09,0.006,0.022,0,0.167,0.246,0.098,0.147,0.206,0.102,0.314,0.375,0.257
0.166,0.245,0.094,0.006,0.022,0,0.172,0.253,0.101,0.147,0.206,0.102,0.319,0.383,0.26
0.171,0.253,0.097,0.006,0.022,0,0.177,0.261,0.103,0.147,0.206,0.102,0.324,0.39,0.263
0.176,0.261,0.1,0.006,0.021,0,0.182,0.268,0.106,0.147,0.206,0.102,0.329,0.396,0.266
0.184,0.275,0.103,0.006,0.021,0,0.19,0.283,0.109,0.137,0.191,0.095,0.327,0.399,0.259
0.19,0.283,0.105,0.006,0.02,0,0.195,0.291,0.111,0.137,0.191,0.095,0.332,0.408,0.261
0.194,0.291,0.107,0.005,0.02,0,0.2,0.299,0.113,0.137,0.191,0.095,0.337,0.417,0.264
0.199,0.298,0.109,0.005,0.019,0,0.204,0.306,0.115,0.137,0.191,0.095,0.341,0.425,0.266
0.203,0.305,0.111,0.005,0.019,0,0.209,0.313,0.117,0.137,0.191,0.095,0.345,0.434,0.267
0.208,0.312,0.112,0.005,0.018,0,0.213,0.32,0.118,0.137,0.191,0.095,0.349,0.44,0.269
0.211,0.319,0.114,0.005,0.018,0,0.217,0.326,0.12,0.137,0.191,0.095,0.353,0.447,0.271
0.215,0.326,0.115,0.005,0.018,0,0.22,0.332,0.121,0.137,0.191,0.095,0.357,0.453,0.272
0.219,0.332,0.116,0.005,0.018,0,0.224,0.338,0.122,0.137,0.191,0.095,0.36,0.459,0.273
0.222,0.338,0.117,0.005,0.017,0,0.227,0.344,0.123,0.137,0.191,0.095,0.363,0.465,0.275
0.188,0.291,0.099,0.004,0.014,0,0.192,0.292,0.104,0.125,0.173,0.086,0.317,0.403,0.241
0.191,0.296,0.1,0.004,0.014,0,0.195,0.296,0.105,0.125,0.173,0.086,0.32,0.406,0.242
0.193,0.3,0.101,0.004,0.014,0,0.197,0.301,0.106,0.125,0.173,0.086,0.322,0.41,0.243
0.196,0.305,0.102,0.004,0.013,0,0.199,0.305,0.106,0.125,0.173,0.086,0.324,0.413,0.244
0.198,0.309,0.102,0.004,0.013,0,0.201,0.309,0.107,0.125,0.173,0.086,0.326,0.416,0.245
0.162,0.257,0.083,0.003,0.011,0,0.164,0.258,0.086,0.095,0.132,0.067,0.26,0.34,0.19
0.163,0.26,0.083,0.003,0.01,0,0.166,0.26,0.086,0.095,0.132,0.067,0.261,0.344,0.191
0.164,0.261,0.084,0.003,0.01,0,0.167,0.262,0.087,0.095,0.132,0.067,0.263,0.346,0.191
0.165,0.263,0.084,0.003,0.01,0,0.168,0.264,0.087,0.095,0.132,0.067,0.264,0.348,0.191
0.166,0.264,0.084,0.003,0.01,0,0.169,0.265,0.087,0.095,0.132,0.067,0.265,0.349,0.192
