Rs_mean,Rs_up,Rs_low,Rl_mean,Rl_up,Rl_low,Rhh_mean,Rhh_up,Rhh_low,Rcc_mean,Rcc_up,Rcc_low,Rt_mean,Rt_up,Rt_low
0.357,0.632,0.168,0.139,0.424,0.008,0.496,0.989,0.203,3.545,3.89,2.986,4.041,4.479,3.64
0.354,0.621,0.168,0.139,0.425,0.008,0.493,0.981,0.203,3.545,3.89,2.986,4.038,4.477,3.639
0.353,0.613,0.168,0.139,0.426,0.008,0.492,0.976,0.203,3.545,3.89,2.986,4.036,4.475,3.639
0.351,0.609,0.168,0.139,0.426,0.008,0.49,0.972,0.203,3.545,3.89,2.986,4.035,4.473,3.639
0.35,0.605,0.168,0.139,0.426,0.008,0.489,0.969,0.203,3.545,3.89,2.986,4.034,4.471,3.639
0.352,0.609,0.169,0.14,0.428,0.008,0.492,0.973,0.204,3.263,3.597,2.743,3.754,4.224,3.36
0.352,0.607,0.169,0.14,0.428,0.008,0.492,0.971,0.204,3.263,3.597,2.743,3.754,4.223,3.36
0.352,0.605,0.169,0.14,0.428,0.008,0.491,0.969,0.205,3.263,3.597,2.743,3.754,4.223,3.359
0.351,0.604,0.169,0.14,0.428,0.008,0.491,0.968,0.205,3.263,3.597,2.743,3.753,4.222,3.359
0.351,0.603,0.169,0.14,0.428,0.008,0.491,0.967,0.205,3.263,3.597,2.743,3.753,4.222,3.358
0.312,0.537,0.149,0.124,0.382,0.007,0.436,0.864,0.18,2.973,3.301,2.493,3.409,3.892,3
0.312,0.537,0.15,0.124,0.382,0.007,0.436,0.864,0.18,2.973,3.301,2.493,3.409,3.891,3.001
0.312,0.536,0.15,0.124,0.382,0.007,0.436,0.864,0.18,2.973,3.301,2.493,3.409,3.891,3.001
0.312,0.536,0.15,0.124,0.383,0.007,0.436,0.864,0.18,2.973,3.301,2.493,3.409,3.891,3.001
0.159,0.218,0.095,0.009,0.028,0,0.167,0.228,0.097,0.248,0.319,0.19,0.415,0.459,0.367
0.143,0.197,0.086,0.008,0.024,0,0.15,0.203,0.09,0.227,0.291,0.176,0.377,0.415,0.336
0.146,0.201,0.088,0.008,0.024,0,0.154,0.208,0.092,0.227,0.291,0.176,0.381,0.419,0.338
0.15,0.205,0.09,0.008,0.024,0,0.158,0.212,0.095,0.227,0.291,0.176,0.385,0.424,0.341
0.154,0.21,0.092,0.008,0.024,0,0.162,0.216,0.097,0.227,0.291,0.176,0.389,0.428,0.344
0.158,0.215,0.094,0.008,0.024,0,0.165,0.221,0.1,0.227,0.291,0.176,0.392,0.433,0.346
0.164,0.222,0.097,0.008,0.024,0,0.171,0.228,0.103,0.214,0.274,0.167,0.386,0.425,0.34
0.168,0.227,0.099,0.008,0.024,0,0.175,0.233,0.105,0.214,0.274,0.167,0.39,0.43,0.344
0.171,0.232,0.101,0.007,0.024,0,0.179,0.238,0.107,0.214,0.274,0.167,0.393,0.435,0.347
0.175,0.237,0.102,0.007,0.024,0,0.183,0.243,0.109,0.214,0.274,0.167,0.397,0.44,0.35
0.179,0.242,0.104,0.007,0.024,0,0.186,0.247,0.112,0.214,0.274,0.167,0.401,0.444,0.353
0.184,0.249,0.107,0.007,0.024,0,0.192,0.255,0.114,0.2,0.255,0.154,0.392,0.441,0.342
0.188,0.254,0.108,0.007,0.023,0,0.195,0.259,0.116,0.2,0.255,0.154,0.395,0.445,0.344
0.191,0.258,0.109,0.007,0.023,0,0.198,0.264,0.118,0.2,0.255,0.154,0.398,0.45,0.346
0.194,0.262,0.111,0.007,0.023,0,0.201,0.268,0.12,0.2,0.255,0.154,0.401,0.455,0.348
0.197,0.266,0.112,0.007,0.023,0,0.204,0.272,0.121,0.2,0.255,0.154,0.404,0.46,0.35
0.2,0.27,0.113,0.007,0.023,0,0.207,0.275,0.123,0.2,0.255,0.154,0.407,0.463,0.351
0.202,0.274,0.114,0.007,0.023,0,0.209,0.279,0.124,0.2,0.255,0.154,0.409,0.467,0.353
0.205,0.277,0.115,0.007,0.023,0,0.211,0.282,0.125,0.2,0.255,0.154,0.412,0.47,0.354
0.207,0.28,0.116,0.007,0.023,0,0.213,0.285,0.126,0.2,0.255,0.154,0.414,0.473,0.356
0.209,0.283,0.117,0.007,0.023,0,0.215,0.288,0.128,0.2,0.255,0.154,0.416,0.476,0.357
0.178,0.246,0.099,0.005,0.019,0,0.184,0.255,0.106,0.184,0.233,0.142,0.368,0.421,0.318
0.18,0.249,0.1,0.005,0.019,0,0.185,0.257,0.107,0.184,0.233,0.142,0.369,0.423,0.319
0.181,0.251,0.1,0.005,0.019,0,0.187,0.259,0.108,0.184,0.233,0.142,0.371,0.425,0.32
0.183,0.253,0.101,0.005,0.019,0,0.188,0.262,0.108,0.184,0.233,0.142,0.372,0.428,0.32
0.184,0.256,0.102,0.005,0.019,0,0.189,0.264,0.109,0.184,0.233,0.142,0.373,0.43,0.321
0.152,0.222,0.085,0.004,0.016,0,0.156,0.227,0.091,0.144,0.184,0.11,0.3,0.35,0.253
0.152,0.223,0.085,0.004,0.016,0,0.157,0.228,0.091,0.144,0.184,0.11,0.3,0.351,0.253
0.153,0.225,0.085,0.004,0.016,0,0.157,0.23,0.092,0.144,0.184,0.11,0.301,0.352,0.254
0.154,0.226,0.086,0.004,0.016,0,0.158,0.231,0.092,0.144,0.184,0.11,0.302,0.353,0.254
0.154,0.227,0.086,0.004,0.016,0,0.159,0.232,0.092,0.144,0.184,0.11,0.302,0.354,0.254
