b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.488	0.046	0.842	0.659	0.115	0.496	0.08	0.066
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.515	0.036	0.673	0.468	0.156	0.516	0.168	0.028
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.472	0.041	0.809	0.45	0.225	0.251	0.128	0.069
0.514	0.037	0.798	0.404	0.124	0.476	0.095	0.102
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.526	0.031	0.801	0.342	0.13	0.504	0.079	0.036
0.544	0.036	0.787	0.454	0.176	0.44	0.002	0.186
0.544	0.036	0.787	0.454	0.176	0.44	0.002	0.186
0.544	0.036	0.787	0.454	0.176	0.44	0.002	0.186
0.544	0.036	0.787	0.454	0.176	0.44	0.002	0.186
0.544	0.036	0.787	0.454	0.176	0.44	0.002	0.186
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.547	0.038	0.742	0.25	0.221	0.244	0.014	0.226
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.54	0.052	0.633	0.355	0.166	0.367	0.127	0.018
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
0.549	0.047	0.597	0.475	0.189	0.307	0.129	0.002
