b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.45	0.021	0.847	0.812	0.687	0.08	0.341	0.008
0.45	0.021	0.847	0.812	0.687	0.08	0.341	0.008
0.45	0.021	0.847	0.812	0.687	0.08	0.341	0.008
0.45	0.021	0.847	0.812	0.687	0.08	0.341	0.008
0.45	0.021	0.847	0.812	0.687	0.08	0.341	0.008
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
0.514	0.015	0.813	0.893	0.655	0.081	0.197	0.01
