b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.544	0.018	0.773	0.761	0.796	0.075	0.201	0.034
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.534	0.015	0.802	0.822	0.718	0.092	0.317	0.013
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
0.505	0.025	0.818	0.883	0.901	0.043	0.29	0.018
