b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.54	0.044	0.824	0.382	0.253	0.193	0.045	0.116
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.528	0.044	0.796	0.923	0.156	0.498	0.047	0.077
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.545	0.051	0.748	0.858	0.135	0.486	0.007	0.085
0.524	0.044	0.703	0.892	0.335	0.241	0.021	0.308
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.506	0.04	0.83	0.782	0.31	0.272	0.002	0.221
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
0.53	0.05	0.792	0.729	0.183	0.372	0.029	0.167
