b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.525	0.031	0.839	0.343	0.847	0.113	0.345	0.009
0.525	0.031	0.839	0.343	0.847	0.113	0.345	0.009
0.525	0.031	0.839	0.343	0.847	0.113	0.345	0.009
0.524	0.032	0.785	0.782	0.772	0.117	0.405	0.01
0.524	0.032	0.785	0.782	0.772	0.117	0.405	0.01
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.532	0.034	0.825	0.468	0.779	0.085	0.341	0.004
0.545	0.025	0.792	0.539	0.714	0.157	0.379	0.028
0.545	0.025	0.792	0.539	0.714	0.157	0.379	0.028
0.545	0.025	0.792	0.539	0.714	0.157	0.379	0.028
0.545	0.025	0.792	0.539	0.714	0.157	0.379	0.028
0.545	0.025	0.792	0.539	0.714	0.157	0.379	0.028
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
0.519	0.028	0.794	0.531	0.889	0.107	0.446	0.005
