b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
0.48	0.058	0.726	0.999	0.165	0.462	0.157	0.024
