b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.47	0.055	0.798	0.322	0.569	0.211	0.314	0.011
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.441	0.075	0.799	0.6	0.557	0.098	0.302	0.002
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.391	0.06	0.829	0.082	0.72	0.133	0.424	0.004
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.4	0.052	0.841	0.47	0.594	0.214	0.419	0.022
0.477	0.074	0.769	0.724	0.45	0.194	0.249	0.011
0.504	0.063	0.804	0.824	0.327	0.315	0.188	0.032
0.498	0.061	0.846	0.556	0.394	0.272	0.158	0.031
0.498	0.061	0.846	0.556	0.394	0.272	0.158	0.031
0.498	0.061	0.846	0.556	0.394	0.272	0.158	0.031
0.498	0.061	0.846	0.556	0.394	0.272	0.158	0.031
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.483	0.061	0.848	0.44	0.421	0.212	0.235	0.053
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
0.422	0.075	0.796	0.863	0.508	0.219	0.303	0.008
