b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.547	0.036	0.811	0.837	0.973	0.073	0.581	0.019
0.547	0.036	0.811	0.837	0.973	0.073	0.581	0.019
0.547	0.036	0.811	0.837	0.973	0.073	0.581	0.019
0.547	0.036	0.811	0.837	0.973	0.073	0.581	0.019
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.539	0.04	0.832	0.947	0.984	0.072	0.446	0.01
0.546	0.027	0.809	0.901	0.895	0.126	0.564	0.011
0.546	0.027	0.809	0.901	0.895	0.126	0.564	0.011
0.546	0.027	0.809	0.901	0.895	0.126	0.564	0.011
0.548	0.025	0.826	0.686	0.951	0.139	0.632	0.002
0.548	0.025	0.826	0.686	0.951	0.139	0.632	0.002
0.548	0.025	0.826	0.686	0.951	0.139	0.632	0.002
0.548	0.025	0.826	0.686	0.951	0.139	0.632	0.002
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.529	0.04	0.823	0.937	0.966	0.066	0.614	0.001
0.544	0.023	0.83	0.542	0.996	0.092	0.613	0.002
0.544	0.023	0.83	0.542	0.996	0.092	0.613	0.002
0.544	0.023	0.83	0.542	0.996	0.092	0.613	0.002
0.544	0.023	0.83	0.542	0.996	0.092	0.613	0.002
0.544	0.027	0.848	0.835	0.965	0.078	0.546	0.009
0.544	0.027	0.848	0.835	0.965	0.078	0.546	0.009
0.544	0.027	0.848	0.835	0.965	0.078	0.546	0.009
0.544	0.027	0.848	0.835	0.965	0.078	0.546	0.009
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.543	0.018	0.836	0.96	0.956	0.082	0.623	0.004
0.529	0.032	0.846	0.636	0.981	0.09	0.58	0.001
0.529	0.032	0.846	0.636	0.981	0.09	0.58	0.001
0.529	0.032	0.846	0.636	0.981	0.09	0.58	0.001
0.529	0.032	0.846	0.636	0.981	0.09	0.58	0.001
0.529	0.032	0.846	0.636	0.981	0.09	0.58	0.001
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.542	0.019	0.841	0.445	0.991	0.09	0.697	0.006
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.539	0.032	0.841	0.801	0.981	0.092	0.576	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.032	0.839	0.923	0.989	0.071	0.538	0.003
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.538	0.028	0.817	0.815	0.961	0.11	0.633	0.001
0.545	0.016	0.824	0.386	0.978	0.155	0.719	0.001
0.545	0.016	0.824	0.386	0.978	0.155	0.719	0.001
0.545	0.016	0.824	0.386	0.978	0.155	0.719	0.001
0.545	0.016	0.824	0.386	0.978	0.155	0.719	0.001
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.541	0.012	0.832	0.751	0.963	0.147	0.551	0.01
0.548	0.024	0.831	0.671	0.96	0.099	0.627	0.003
0.548	0.024	0.831	0.671	0.96	0.099	0.627	0.003
0.548	0.024	0.831	0.671	0.96	0.099	0.627	0.003
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.541	0.021	0.817	0.644	0.998	0.122	0.711	0.002
0.538	0.03	0.826	0.889	0.958	0.081	0.611	0.007
