b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.519	0.061	0.826	0.193	0.3	0.268	0.064	0.098
0.519	0.061	0.826	0.193	0.3	0.268	0.064	0.098
0.519	0.061	0.826	0.193	0.3	0.268	0.064	0.098
0.519	0.061	0.826	0.193	0.3	0.268	0.064	0.098
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.442	0.054	0.756	0.466	0.457	0.185	0.246	0.091
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.465	0.06	0.733	0.39	0.372	0.239	0.296	0.01
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
0.49	0.064	0.774	0.867	0.292	0.227	0.163	0.046
