b12	b3	r12	rh	bs1	bs2	bl1	bl2
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.476	0.049	0.811	0.545	0.069	0.902	0.033	0.189
0.421	0.054	0.739	0.868	0.221	0.304	0.03	0.045
0.421	0.054	0.739	0.868	0.221	0.304	0.03	0.045
0.421	0.054	0.739	0.868	0.221	0.304	0.03	0.045
0.421	0.054	0.739	0.868	0.221	0.304	0.03	0.045
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.423	0.057	0.722	0.973	0.213	0.36	0.006	0.408
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.44	0.046	0.772	0.691	0.088	0.96	0.107	0.021
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.483	0.04	0.844	0.513	0.088	0.576	0.018	0.276
0.435	0.054	0.781	0.952	0.117	0.647	0.054	0.024
0.435	0.054	0.781	0.952	0.117	0.647	0.054	0.024
0.435	0.054	0.781	0.952	0.117	0.647	0.054	0.024
0.435	0.054	0.781	0.952	0.117	0.647	0.054	0.024
0.435	0.054	0.781	0.952	0.117	0.647	0.054	0.024
0.452	0.07	0.603	0.932	0.179	0.201	0.026	0.094
0.452	0.07	0.603	0.932	0.179	0.201	0.026	0.094
0.452	0.07	0.603	0.932	0.179	0.201	0.026	0.094
0.452	0.07	0.603	0.932	0.179	0.201	0.026	0.094
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
0.484	0.069	0.691	0.732	0.085	0.361	0.001	0.241
